tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
58548609,58548610,100,f5fea83380d603b1ade6ba69206d2ebd74ae2415,java,ok,0,java-maven,junit,true,false,1692,0,1692,0,,,,"",6.52,
60156392,60156394,101,e0bf3d7b876a11babebe1c218d4dcd6c426d34a7,java,ok,0,java-maven,junit,true,false,1726,0,1726,0,,,,"",20.99,
60157046,60157047,102,68543de3fc92beb0855b5e818c635a25bb33650e,java,ok,1,java-maven,junit,true,false,1726,0,1726,0,,,,"",16.51,
60171457,60171458,103,3891d54e7e73ca55cef888820c38602c1fde31b3,java,ok,0,java-maven,junit,true,false,1728,0,1728,0,,,,"",16.12,
60171505,60171506,104,714c960712635417ccbf19b82c798dabe6e243af,java,ok,0,java-maven,junit,true,false,1728,0,1728,0,,,,"",18.97,
60644832,60644833,105,d4af725440f8c18bcb99f6c1c7d27bde642e42de,java,ok,0,java-maven,junit,true,false,1728,0,1728,0,,,,"",12.54,
60651591,60651592,106,712776a655db1b4ff42c425bc12cf14cd7a21acf,java,ok,0,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.62,
60764319,60764321,107,ea510c277aff8f8af6077432846c70098b5e23d1,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
60764972,60764973,108,ac29aaaada110ae2d7ba69df3caa1bd9e79309d6,java,ok,0,java-maven,junit,true,false,1729,0,1729,0,,,,"",23.01,
60890216,60890218,109,b8860b6f147f408e545d5537f85661c97e36c6ce,java,ok,0,java-maven,junit,true,false,1729,0,1729,0,,,,"",13.54,
13008419,13008420,10,8d6ecefbdae6d71504011e407ca2e79dc6b28db0,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",8.89,
60890796,60890798,110,bc3db1853ba055c298cb71ee77fcfa1a9a87eae2,java,ok,0,java-maven,junit,true,false,1729,0,1729,0,,,,"",13.3,
60890803,60890804,111,04536ea3d25bc3c59f13fc17e928b2c287337f8b,java,ok,0,java-maven,junit,true,false,1729,0,1729,0,,,,"",11.73,
60960306,60960307,112,2576831e846e047baa3da0ed999fbd522cfdc8f7,java,ok,0,java-maven,junit,true,false,1722,0,1722,0,,,,"",13.19,
61185148,61185149,113,658d09d1e507c241d6b6b8022db55e36c0fd1acb,java,ok,0,java-maven,junit,true,false,1723,0,1723,0,,,,"",14.33,
61189518,61189520,114,85e98b9ffcc9f54f9433cdc4f5a2591f46e0c365,java,ok,0,java-maven,junit,true,false,1723,0,1723,0,,,,"",12.37,
61189530,61189531,115,3fc2458c142b0befdd92ff3b7ad5c5ecb61f4479,java,ok,0,java-maven,junit,true,false,1723,0,1723,0,,,,"",12.97,
63412467,63412468,116,75dd4fd80909d2006a9e7b94a828cf90ca36982f,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
63413565,63413566,117,6605b61748f970368988000675a9e1cc674b9f2e,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",17.78,
65134975,65134977,118,392a82a8f10b056cb6817ca833e759217a983bcf,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.08,
65135004,65135005,119,ce599f9abb02abf71ada8010fc6bbafb0d86b0c8,java,ok,1,java-maven,junit,true,false,1725,0,1725,0,,,,"",14.23,
13063278,13063279,11,51b1786c53434b989fb0e69149a84a38bc971ad5,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",6.79,
65292054,65292055,120,9210f34ef12bcb58a4ffdcfb92167e860c33d829,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",15.21,
65325437,65325438,121,caaa8772d0b11b7d526c0a8e79af704e5d0cf243,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.8,
65325644,65325645,122,5f46398bba6eb7f3e26f4e78e7aae104e7e2f655,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.23,
65501527,65501530,123,0114e34a5eae1aa3cc4faa10ac2a444f2571ffcd,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",15.7,
65610043,65610044,124,d32f116bd09e17f12b6439b5fcfd7209cb9d914b,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.18,
65610047,65610048,125,3bfd2d01fb6f8bb8aa38817c7c5ba53b4fc8d3da,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.57,
71511439,71511440,126,28858d736cbd03f737e0dc6d7d01dd8de8257734,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",11.3,
71562942,71562943,127,9c3ddad352ff344757dec01278ad3f2e54e8f115,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.68,
71808563,71808565,128,bf6b1e9fd3a7519a39bf13ebece8c3852c19e70e,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.56,
71808572,71808578,129,e3cc78ec80699b666c0ed820546a460f95395c0b,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",11.74,
13071960,13071961,12,5d71a27df6ffcbe3803a8a6c805539be935903c4,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",5.86,
75654588,75654591,130,1ae1faad6161714b60df8532e1a44a3b22a60ab5,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",11.68,
75678742,75678743,131,5f530149fe1f11449d74876f2cdc0170390e1adf,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",14.04,
77979663,77979664,132,f19efe393752144096f59f97d6102aeffaeee934,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",10.38,
77986389,77986390,133,ea70352cecbf464997cf55ea0150598a2870e549,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",11.44,
85229394,85229395,134,ee69bf2b010afb6a7414647325c6e07777511422,java,ok,0,java-maven,junit,true,false,1726,0,1726,0,,,,"",14.23,
85408284,85408285,135,ecfbc8b4a070d6c790a40661cfef2cf97bdd2f68,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.25,
85841447,85841450,136,3c4c4f1df002a43cb5efcaf4e48a43a4aa62b663,java,ok,0,java-maven,junit,true,false,1726,0,1726,0,,,,"",11.72,
85842661,85842662,137,f0b3fae252bd6e1bbe617c31dacac04a33ccefc0,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.76,
86529162,86529163,138,cbb65ef28194a2af7c189024cebb7d8cb4576de8,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.93,
86714607,86714631,139,fba452d3628613392a6e9ff3fd7030a275d7e7b2,java,ok,1,java-maven,junit,true,false,1725,0,1725,0,,,,"",14.07,
13883674,13883675,13,c83346237c73b85f5e9a38f31229d7403935800e,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.49,
88416969,88416982,140,e03524da0b33394a0d4c27f18c7fd1d1ad301180,java,ok,1,java-maven,junit,true,false,1725,0,1725,0,,,,"",11.29,
88417021,88417024,141,97bc29d77689246ee22263c2b3bfec95da82f41a,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",10.92,
95424845,95424846,142,11db69fb529d226d9356f936f2855de2ac1bb6e6,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.98,
95442172,95442189,143,c6067423fa8444c4235250358f4002ba3467b3c3,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.7,
95443377,95443378,144,5d22caf292e3933a073445233da588bd49392000,java,ok,1,java-maven,junit,true,false,1725,0,1725,0,,,,"",13.96,
95443395,95443399,145,eab07c4cae5f93f337046a7a3e99198a217a54c5,java,ok,0,java-maven,junit,true,false,1725,0,1725,0,,,,"",12.65,
97053030,97053031,146,e896628a235a82d59741744fd1dbd540598696f5,java,ok,1,java-maven,junit,true,false,1726,0,1726,0,,,,"",8.38,
97055214,97055217,147,a1d5d9c32132f12ab8ff8dd85fd5a4fafe9940b6,java,ok,1,java-maven,junit,true,false,1726,0,1726,0,,,,"",8.21,
97056337,97056338,148,dd1376810e38e445df982e1c6b42a655f8b2d9a5,java,ok,1,java-maven,junit,true,false,1726,0,1726,0,,,,"",8.61,
97056339,97056340,149,5b2999c085b22b1b83c9239532bdb4409a6d5772,java,ok,1,java-maven,junit,true,false,1726,0,1726,0,,,,"",8.14,
13930512,13930513,14,06d100726c814d8296d55f90a29323aa8da3ff47,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.14,
100207464,100207465,150,e7c22ff0f359f9c6b8f80c14529ac714d9d3ec33,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.44,
100210469,100210470,151,f1caf62d77f39e69074f35c0fdcaa3a2531b460e,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
100210490,100210491,152,e43db1a7913014d6c34f9fda3678ba81324583cf,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",8.89,
100213874,100213875,153,4f78a1f3e77d382222481b3231914eb5619e6db3,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.65,
100213889,100213890,154,43420a9eac2dc22ce5050d6ea497609a84d3cc57,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.8,
100755451,100755452,155,2c46cd26aeb7bdd04962f376df84677732ef0745,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.19,
100755646,100755647,156,4824587ae00125f14197c06172ce24ce65413efb,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",8.49,
107877481,107877482,157,af484032c724e8a61bcfea355b813d0e49582511,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",7.33,
119319497,119319498,158,46cb76838baf1b64f75a51c0de3507059ae08550,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.37,
119360850,119360853,159,6ee75910e42496f96193c3013bf0dce4f4345832,java,ok,2,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.63,
13931814,13931815,15,0582a3d5d99b7dc6a355b092af8a6e4c096e5a8f,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.35,
119373946,119373947,160,a23475eebc1814e7f469be2be26d621313862922,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",8.13,
119376481,119376482,161,952b33bc952841ebe697619279e11e08858f9b1a,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",8.59,
133456457,133456458,162,a7a74ed6807a35b09ca10ef207b063057e09b4fe,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.85,
133475271,133475273,163,9c323f8115c2b564ddb78dbe09e0fae979d5e0cc,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.86,
133498721,133498722,164,51a6a1f9abb5b52f5b7ad43c7c76765dc5f9894c,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.59,
133499356,133499357,165,d946bcb9b365dae775f943d841d0acf1480a0d93,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",14.75,
133499368,133499369,166,6e0c143f05f0cc909c4eb0ec3c5ca259757028fb,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.61,
133516017,133516018,167,ea209b1d83753f600e6343d8a536b1297db63513,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.27,
134589480,134589481,168,dc99bad37018bcec49534ee016ad8f1b56196cd8,java,ok,3,java-maven,junit,true,false,1727,0,1727,0,,,,"",9.71,
134826945,134826946,169,8b8bc9219c25c955865861738ed720c9aa929ea1,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.01,
13946681,13946682,16,46658cc870b9be5a36a53bc62b95130f14ed18f8,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.53,
135072530,135072533,170,de44e44e4951eec6a1d4b27e695ad66589fee5b0,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
135072680,135072681,171,794bc3e07690c9dad602ae5caafb33e8372c5d30,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",8.65,
135074385,135074386,172,a488d831f7647b5fe79d57ba20167ef0cb26391e,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.68,
135074396,135074398,173,19d7f8cddbf7084edc9dac317f9203f4ec491a60,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",10.32,
137938315,137938316,174,e7f2e514baf700b788982b30f23339a2f856957d,java,ok,1,java-maven,junit,true,false,1727,0,1727,0,,,,"",22.81,
137954194,137954195,177,8d5939d91c9c871392245bc61e027e31b089a59a,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.94,
138155041,138155043,178,f7f394adcf1f30564d8d26c902a478a5a3cbe287,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.5,
138157249,138157250,179,bc4e20fb19755fd240ef44e6d0bf759b600cccf9,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",9.46,
13987366,13987367,17,d4789dc4711bd2338c5a0cc469d280e70414ae4c,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.0,
139289563,139289568,180,963c4d6ff8dc31fb95bc652d7671a7d03a62df0c,java,ok,2,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.88,
139294015,139294043,181,1d899905b08e312ef914b6436097e9c4b708556e,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.46,
139299654,139299655,182,2b1d988328645cb75befbbc1f08e9a7bb3225792,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",13.66,
139303429,139303442,183,ff805ff24348914acc41f20fcdf635f907950a4a,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.06,
139305077,139305081,184,531e63dff9b2387df386ba876e56a88d02357f1c,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.21,
139632825,139632826,185,ba8feb6d49672976113161af2de288eeef3c57ad,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.29,
139632827,139632828,186,4b75770956a6aed5a59cf52c0cad8c47b4a5f8ed,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.55,
140163039,140163040,187,dab1e2545d8ad91c4095f9d50264cc86fc543945,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.47,
140595530,140595539,188,76981bc739a5c5571b866da72d6174937448f5d8,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
140595554,140595558,189,1009d71af84bd4152fe5024ad2019a75db4cf4c2,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",13.38,
14221010,14221011,18,4d7c74e1d2c34d02bd175af36f5407285f438f45,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",8.1,
149872504,149872505,190,d946ac4622c9689c7d1e2e69a2af616fcf23f895,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",9.84,
149874089,149874090,191,27b84173ac7142f46cbeb7752b129a5f3f30c411,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
149874092,149874093,191,0a3faa613cbad6214038941a6928dce699e4e491,java,ok,2,java-maven,junit,true,false,1728,0,1728,0,,,,"",14.59,
149875441,149875442,192,65104432a4e072061a9441924b31e89e76506d2c,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",12.16,
149875453,149875454,192,d63a529cd018e3e9fa9c1dbb5081d818de91b1d7,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",9.84,
150945785,150945786,193,66293b5f75d311547943cc2aef9a8579f3c3d179,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.9,
150953835,150953836,194,3f743d6cf4e1a10eb76af921af35aef4476a1aaf,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.16,
151053940,151053941,195,4284dc11d9f66b4217bdb06dab25bcb7bb74422b,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.24,
151952184,151952185,196,ad67259ebc2653dd4d62d2053a99fea14eaaf387,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.01,
152754200,152754201,197,083c311eef0225c17cd526c27d8649a779230407,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",9.74,
152754202,152754203,198,4585c08362df52b644ddd83c12df5e13fef9e5a3,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.88,
154056783,154056784,199,d9243644f7f9c49203eea37774a74883e737f860,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",10.91,
17892003,17892004,19,469914beeabe95aafb5392e6425fb013d60e0c79,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.29,
11532539,11532540,1,b029f0b15c34cf694fb6a86c91027227fa0c5da1,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",7.07,
154056968,154056969,200,d23123e8dccbba407fe5cd30424dd08d7a730820,java,ok,1,java-maven,junit,true,false,1729,0,1729,0,,,,"",10.28,
154574562,154574563,201,3943edad75d138f859ce8b829f3c91d58d2304f9,java,ok,1,java-maven,junit,true,false,1728,0,1728,0,,,,"",11.6,
154574566,154574567,202,d694fcfa953d6cb31940b2d25fdc2fe86ada56a5,java,unknown,5,java-ant,"",false,,,,,,,,,"",,
154574827,154574828,203,f7cae4408383751fc55b1a63b60dbbf2c076cbaf,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
154574839,154574840,204,cc6b8b33d623630d396196bde87a8f830e870655,java,ok,1,java-maven,junit,true,false,1729,0,1729,0,,,,"",10.78,
17923788,17923789,20,b4ce682c3fce767f3fefb4a504da9afbdd71ade9,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",8.2,
18001679,18001680,21,de3336b34ef45f09c673824d6c4124a9ebc8d43e,java,unknown,,java-ant,"",false,,,,,,,,,"",,
18001736,18001737,22,263e4cdb55ceed19dc21a9cd074beeb24c761c91,java,unknown,,java-ant,"",false,,,,,,,,,"",,
18001798,18001799,23,5f84b846fd4763e988cac05c4ce4ca1e88a720d3,java,ok,,java-maven,junit,true,false,29,0,29,0,,,,"",8.94,
19004420,19004421,24,09cbd912d02cc5137a6d9dec12217ab784fe7de3,java,ok,,java-maven,junit,true,false,29,0,29,0,,,,"",6.41,
19004442,19004443,25,e853c58be9933634c36cf0634fabb1c5e7d7197a,java,ok,,java-maven,junit,true,false,29,0,29,0,,,,"",5.55,
19012308,19012309,26,bfc428e9ea91ad0f8f1baf4e812bb902423aab71,java,ok,,java-maven,junit,true,false,28,0,28,0,,,,"",6.41,
