tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
83620567,83620571,1000,b418397790e7e00505846d48bc6458d710c00095,java,broken,6,java-maven,junit,true,false,190,0,190,27,,,,"",158.76999999999998,321
83641606,83641607,1001,651dff112e1492cff9e7dde95080fd1701cb18f3,java,unknown,5,java-maven,junit,true,false,24,0,24,0,,,,"",5.21,
83709362,83709363,1002,64bf5c8e687c8ce6684870c831634e2441787117,java,broken,6,java-maven,junit,true,false,191,0,191,24,,,,"",225.33999999999997,375
83937621,83937624,1003,999e0f637b93594e56680a8fa5dbc6d1ee131680,java,broken,6,java-maven,junit,true,false,350,0,350,51,,,,"",425.13000000000005,544
84036511,84036515,1004,2b6f19a1f85c3b042931691605ccd2b3639742bd,java,broken,4,java-maven,junit,true,false,185,0,185,13,,,,"",420.53000000000003,536
84139192,84139193,1005,6cd399de82d18c1f8c2e4992b0a2c3f2d4fbbbcf,java,broken,6,java-maven,junit,true,false,190,0,190,27,,,,"",182.38000000000002,377
84156157,84156158,1006,8fc77cb27ec83a8486c340b6723ea0aa8e04dd2c,java,unknown,4,java-maven,"",false,,,,,,,,,"",0,
84178602,84178613,1007,a4dd3ab1f99e97365642e1115f3e4fe918d7812b,java,unknown,6,java-maven,"",false,,,,,,,,,"",0,
84182888,84182895,1008,aa63e1f48ccada7386b2c2fea08dbd97ba77383c,java,broken,6,java-maven,junit,true,false,190,0,190,27,,,,"",186.38,369
84192617,84192628,1009,440ecd81400107e5953ce4a5c063d40696f3a05a,java,broken,6,java-maven,junit,true,false,265,0,265,13,,,,"",346.92999999999995,471
24678950,24678951,100,b7bf00cbbdc410861061e59b122a40083b527564,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
84207364,84207365,1010,5d4167c6e1b9b64edd617caea96ee80dbae0e18f,java,broken,7,java-maven,junit,true,false,278,0,278,19,,,,"",349.90999999999997,437
84208111,84208113,1011,3cc4c2bc1264ef4d7375a7d5abb1aaa4e23562d3,java,broken,8,java-maven,junit,true,false,31,0,31,0,,,,"",47.42,102
84211081,84211082,1012,96153ec376f502dd6f6f787aab53337d9ed2fc58,java,unknown,8,java-maven,junit,true,false,24,0,24,0,,,,"",244.33,
