tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
40264448,40264449,1000,201c25aae60bb8a421e9698cbbfbc3410f1bd079,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",67.42999999999999,84
40264556,40264557,1001,cc84157090b8f961a6045e5bb6ab1b018b77dc05,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",66.55000000000001,83
40265359,40265360,1002,a6053483460af3bfd63ccaab440844da2342288e,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",71.47,89
40265527,40265528,1003,1baefd43cf94b8158ad0b9768902a2ba706d6411,java,broken,,java-ant,"",false,,,,,,,,,"",,
40265527,40265529,1003,1baefd43cf94b8158ad0b9768902a2ba706d6411,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40265724,40265725,1004,6a62bb0732aad0007dfcb33bc04f7bb2de5156c5,java,broken,,java-ant,"",false,,,,,,,,,"",,
40265724,40265726,1004,6a62bb0732aad0007dfcb33bc04f7bb2de5156c5,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40265792,40265793,1005,19c9af7c2ea25ba72b5f8ac507532127eeda91b1,java,broken,,java-ant,"",false,,,,,,,,,"",,46.13
40265792,40265794,1005,19c9af7c2ea25ba72b5f8ac507532127eeda91b1,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40266831,40266832,1006,4a75214a8c3aba962b362939621feb096c6b276c,java,broken,,java-ant,"",false,,,,,,,,,"",,
40266831,40266833,1006,4a75214a8c3aba962b362939621feb096c6b276c,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40266831,40266834,1006,4a75214a8c3aba962b362939621feb096c6b276c,java,ok,,java-ant,"",false,,,,,,,,,"",,41.92
40266831,40266835,1006,4a75214a8c3aba962b362939621feb096c6b276c,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40267698,40267699,1007,f706f040bfbde29dc0ebfb9a8b5b6878826bb1f3,java,broken,,java-ant,"",false,,,,,,,,,"",,
40267698,40267700,1007,f706f040bfbde29dc0ebfb9a8b5b6878826bb1f3,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40267698,40267701,1007,f706f040bfbde29dc0ebfb9a8b5b6878826bb1f3,java,broken,,java-ant,"",false,,,,,,,,,"",,
40267698,40267702,1007,f706f040bfbde29dc0ebfb9a8b5b6878826bb1f3,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40267725,40267726,1008,cd6f87dfe33e471eed894d10c2c2045f59b0ef4d,java,broken,,java-ant,"",false,,,,,,,,,"",,
40267725,40267727,1008,cd6f87dfe33e471eed894d10c2c2045f59b0ef4d,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
40268029,40268030,1009,baecaa485fe4a51a848e4c77d59fc75e81654293,java,ok,,java-ant,"",false,,,,,,,,,"",,134
40268029,40268031,1009,baecaa485fe4a51a848e4c77d59fc75e81654293,java,broken,,java-ant,"",false,,,,,,,,,"",,73
13841419,13841420,100,78a9e8eb9aa7db85313bc712b7efd4da25706753,java,ok,,java-maven,junit,true,false,4,0,4,0,,,,"",2.51,
40268601,40268602,1010,b055b70831b3dac774f52f413cc2a7869c792897,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",75.37000000000002,79
40269981,40269982,1011,bb133cfe46fef1a74feb746a8fce6f2b710a5f79,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",78.39000000000001,108
40285707,40285708,1012,0fe4e4a0f1f5cf68dcc19abe4d9781e1bee921e2,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",75.48999999999998,85
40286099,40286100,1013,6758ae4447e0d87de5ea65731d66bf8b8e45f0bc,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",70.66000000000001,76
40366517,40366518,1014,2fdf51516451a5e7eb99f34a5d6ebae1fdaa808e,java,broken,,java-maven,junit,true,true,176,2,178,0,,,,TestPropertySetter.testObjectProperty##TestPropertySetter.testObjectProperty#,73.63,81
40366682,40366683,1015,5b6d846a3c9a0e6d8f256c072ea41c89f11c6aec,java,broken,,java-maven,junit,true,true,176,2,178,0,,,,TestPropertySetter.testObjectProperty##TestPropertySetter.testObjectProperty#,69.34,79
40371555,40371556,1016,5880aac801d9a8f17e641b3e98a2d50ef154a720,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",73.52,78
40371642,40371644,1017,1a1cf87c0e0761954ecfe3e6534904c0924f4c4c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",74.73,
40380243,40380244,1018,56216562f48de54f4e19978c0623a77d3dac9da6,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",70.39000000000001,75
40381187,40381188,1019,56216562f48de54f4e19978c0623a77d3dac9da6,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",70.86,84
13841423,13841424,101,78a9e8eb9aa7db85313bc712b7efd4da25706753,java,ok,,java-maven,junit,true,false,4,0,4,0,,,,"",2.02,
40388049,40388050,1020,3415e22919da52a928c5fc2b635107ff4777682b,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",69.52000000000001,73
40388187,40388188,1021,85991710596e0b35aa0e5869966e57b2a19d07c4,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",78.86,82
40388209,40388210,1022,ad9945f63de07fa2f3369358e869074c458ab5ab,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",68.92,79
40388288,40388289,1023,4fa8a2e7418a9306cea88fa7ce57699ea17a8acc,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",65.80000000000003,83
40388290,40388291,1024,4fa8a2e7418a9306cea88fa7ce57699ea17a8acc,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",66.75000000000001,82
40388294,40388296,1025,80851e54de624beece964ac0331bd6eaf4808816,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",75.47000000000001,92
40545257,40545258,1026,546230c3bdaf2f36491d3966765c09dbdf0e017c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",79.68,109
40545295,40545296,1027,546230c3bdaf2f36491d3966765c09dbdf0e017c,unknown,unknown,,plain,"",false,,,,,,,,,"",,
40545412,40545413,1028,546230c3bdaf2f36491d3966765c09dbdf0e017c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",80.62,124
40545548,40545549,1029,30d124fa2909ba12382a038f199d4b6326f0af3c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",69.74,95
13841427,13841428,102,bcdd83927d2602819418c6ee97d17fc46376bcc3,java,ok,,java-maven,junit,true,false,4,0,4,0,,,,"",1.91,
40545594,40545595,1030,fde7912363204a4117875fb552d26064aac847ab,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",78.99000000000001,163
40545853,40545854,1031,0034c3ec33728bea82a14fa37b862747fe8c3e7c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",78.36999999999999,177
40545861,40545862,1032,0034c3ec33728bea82a14fa37b862747fe8c3e7c,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",70.01,81
40545871,40545872,1033,4c362acfa4379fd7c7ef49464c969447d75298a5,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",64.79999999999998,102
40549593,40549594,1034,c7f4b8599dd4c10fdc48690e6f3ef368513543e3,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",73.54000000000002,96
40611625,40611626,1035,5645839a7ed96b46461930f6f507a46a3c1e249d,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",77.71,79
40616916,40616917,1036,ca054975daa0540be4347b973712cc9b374e5565,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",75.17,81
40617347,40617348,1037,e84eab1c53edd2079305f4b7ae3ded3b94cef202,java,broken,,java-maven,"",false,,,,,,,,,"",0,
40618048,40618050,1038,07bb4795ce895218d556e0846f00c70e4184e8e4,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",76.47999999999999,81
40640997,40640998,1039,c1efc19c7615b1b51bf196576fe79142633d2dac,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",78.29999999999998,
13841537,13841538,103,bcdd83927d2602819418c6ee97d17fc46376bcc3,java,ok,,java-maven,junit,true,false,4,0,4,0,,,,"",1.96,
40641131,40641132,1040,04e48feb30b48baa1c9cf631ef71380627ac2d77,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",71.26000000000002,78
40641161,40641162,1041,327b738a42bea32e5f6dc97e039bcf7034054986,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",74.17000000000003,76
40736816,40736817,1042,4c0c9711e13db8ad72f86093461fee7a12451ee6,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",73.95000000000002,97
40758513,40758514,1043,48e0acb98213234b32dd4c21eb5a7d4d94e25ca2,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",70.98000000000002,107
40774187,40774188,1044,7f8b4129ce50f4029e5e3561c0a40a5069c7f155,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",88.37999999999998,109
40774208,40774209,1045,7f8b4129ce50f4029e5e3561c0a40a5069c7f155,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",72.34000000000002,85
40774211,40774213,1046,a7a84e9497b4f2820d28b2bc84062a8527f5328e,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",81.14000000000004,90
40774938,40774939,1047,f4fffb5f1e9d073615ddc1fc709320488b60182b,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",81.70000000000003,93
40778038,40778039,1048,7604d3043489a4426aea476420b012a36e3bfa94,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",81.00000000000001,86
40779358,40779359,1049,bbb50611307aa2be19d2a22e7e94ecf43868878a,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",71.92000000000002,100
13841551,13841552,104,78803fd55a552072d10660375aa72af2cabec4b7,java,ok,,java-maven,junit,true,false,4,0,4,0,,,,"",2.23,
40783955,40783956,1050,e3093d76a1a4d213aa04649a23420cb92281555d,java,ok,,java-maven,junit,true,false,178,0,178,0,,,,"",77.89000000000001,111
40916004,40916005,1051,3360a6713d7ccd8b10fff8fafdcac019bbbbd629,java,ok,0,java-maven,junit,true,false,178,0,178,0,,,,"",77.86000000000001,106
40962140,40962141,1052,f219fa8f9d73a408d3b2c0395774b2922b18255a,java,ok,0,java-maven,junit,true,false,176,0,176,0,,,,"",66.34,82
41065060,41065061,1053,df9821759f910583f3a4c340fb901b68ee296d80,java,ok,0,java-maven,junit,true,false,178,0,178,0,,,,"",69.99000000000001,83
41068656,41068657,1054,db0231ee5b4bdafcf4e87b00ed1a75fbed134d74,java,ok,0,java-maven,junit,true,false,178,0,178,0,,,,"",70.28,83
