tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
37943793,37943794,100,7392026b13c2265081d2f467d072d5eb6011720e,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38113845,38113848,101,b6a75caaecf84103616b1b6deb71b2f2ba19b4b3,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38263880,38263881,102,d88c2f7df8007f44fb2b6ec3c00eac280fb298ec,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38284476,38284477,103,114a12eae5a6da8f046cf5328dbbf72f3297312e,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38306259,38306260,104,67e5f1d5b54017ccac1ff2232b5e2d833eebb031,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38442215,38442216,105,29fa7dda76bf92f8d106826ec2769c0ddaade551,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38516956,38516957,106,3ea7f151576f197df4bd6c3cce46f229cc281698,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38521663,38521664,107,38ced22f14acd14b69bb102605505d1feb04b46b,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38525110,38525111,108,dc756490f3da974008078366b9e1dd5d34677729,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38623233,38623234,109,6958330c93825bbfb70aea1aff9aeed76b59af4e,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
29258588,29258589,10,e152fdff4c305ce60f81d3a26e15a0157e8b7e4a,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
38631424,38631426,110,39f12e09c7273b13604184e523846c1ef18ff311,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38712730,38712731,111,4fcb6cd5b3dbd7ecc58d3e3dcb7a3d8304e54a16,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38755642,38755643,112,1c213bd9646c0292439767103060391121624ff9,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38835464,38835465,113,adf4c9e65eec8a83b39777438829d6817af89598,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38873470,38873471,114,e4ac1f593a328f35ca17d8603a54db3826da2475,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38886038,38886039,115,af30ddf8b29bf6dabc7ed01891a48906e14b5f8c,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
38945754,38945755,116,284bbcd0ed2c8f747a3b6abbab9c673487842f53,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39101630,39101631,117,b4762ebd63a4da3efd214b91cf45909a9471a3e7,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39111593,39111594,118,b1d9c53bacafb993dc4f264f76f396611e235bdb,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39304658,39304659,119,05910d7bb9e9aafdf85893227d1dd50b82266771,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
29273061,29273062,11,ad67eab60aed16b0269d33eb9b02eeb9f07210eb,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
39430996,39430997,120,35ba01c93ca9ff3ed3b9943571a746c5cb242a24,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39449618,39449619,121,b71d633d0fc091f3a4dc5615bb1f3467ca2df618,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39509097,39509098,122,d03c3645ed24540d81a6f40408a2dec1a30befeb,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
39513986,39513987,123,deef4ae2607fcbd32caffc03e2490cbca9134643,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39865235,39865236,124,1ba6cbc27ceb69d097d0bba0e173ea96ecf41cac,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
39906366,39906367,125,17180f4ce97118d61e609fef1ebbcbaebdb1d19e,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
39957938,39957939,126,2007440c380df454db15f83b019a5b4c55ca4b72,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
39962154,39962155,127,913e45915bd8aebd6e419d727020f6efc5d80ac6,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40072237,40072238,128,59e410d39587e16ca5bdadafa4c4b18043840568,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40197867,40197868,129,e91ade604c4a3c145aacecd8293e9f7a356b5dae,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
29468841,29468842,12,9b681c2e88b3722582585a3095cca295f5984098,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40257454,40257455,130,85dbdad1e5e9fc7b2d9e3e2234058dcce956a047,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40314961,40314962,131,a311d4835cdede5757e203d52a1bb5e707cfd989,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40314971,40314972,132,a311d4835cdede5757e203d52a1bb5e707cfd989,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40315633,40315634,133,f8fb9c8647c59ddd811a21f3bc3538475d0cec18,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40336511,40336512,134,0ccd7b41a2185e18550d18b76d4ed85bf5709333,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40527307,40527308,135,49799a8f68ea44939a4d56423a0bcbc0e2d50138,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
40533637,40533638,136,9a0199d944c071f7b91fced944b27daa47e529e3,java,unknown,,java-gradle,junit,true,false,,0,,,,,,"",,
40538024,40538025,137,e76534654d1782f57263f951a36757e1adb1f5da,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
40553802,40553803,138,705fe5a93a7254117ae4d762c4aff59e3b2ddce1,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40561674,40561675,139,c1fc2eda33b21b455243a7c14efb95497b74d3cd,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
29702808,29702809,13,a1fdbb44c7260d81b810ffa717e049a3f2438c19,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40646590,40646591,140,c0376ff386bed1154bf2b1e52a450598e588d611,java,broken,,java-gradle,junit,true,false,,0,,,,,,"",,
40674993,40674994,141,e43ce50924e5a82ca2e3708691a4f3c347b17eec,java,broken,,java-gradle,junit,true,false,,0,,,,,,"",,
40683694,40683695,142,de3eb07775db0687581dc3fdf61d89d30b2b53b3,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40734633,40734634,143,93208760b2454dc9234380c19198a9381849163c,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40787280,40787281,144,d7b36af62eee4e2649206332b44f75097d138ed9,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
40994026,40994027,145,e1c8dc85a7c4da07442c1c1fc1b42f056d9d9cf9,android,broken,0,plain,"",false,,,,,,,,,"",,
40995299,40995300,146,029a05ad6efffdcd68212044b63b284abf6bdc26,android,ok,0,plain,"",false,,,,,,,,,"",,
41001445,41001446,147,2647a13508fa7a97b2da6117ce02194e1b7341b8,android,ok,0,plain,"",false,,,,,,,,,"",,
41042711,41042712,148,f462212f5879d00de90945034e182ef06a78ecaf,android,ok,1,plain,"",false,,,,,,,,,"",,
41137495,41137496,149,9089a96ff178e21a710d5ca9bcb649159fdc0023,android,ok,0,plain,"",false,,,,,,,,,"",,
29749602,29749603,14,186211e3d2350215984741f6df958c52a73e125d,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
41142064,41142065,150,e34df4494ad091e546bb0889d6839e1fc1fd0f2c,android,ok,0,plain,"",false,,,,,,,,,"",,
41252661,41252662,151,d65969d6803c867b26fabf5870f39579f856dd67,android,ok,0,plain,"",false,,,,,,,,,"",,
41356320,41356321,152,475dfd805e3cb57eaaf71338a88131cfbc6a7dd7,android,ok,0,plain,"",false,,,,,,,,,"",,
41376452,41376453,153,28a34b614cc9d215e4b506f80e30acf96e119f9d,android,ok,0,plain,"",false,,,,,,,,,"",,
41542988,41542989,154,a6492f7dd1ece226f59ced32d80af0518f760d8a,android,broken,0,plain,"",false,,,,,,,,,"",,
41561107,41561108,155,7dcc877541e359e36db33fb46b49746cdd19445f,android,ok,0,plain,"",false,,,,,,,,,"",,
41608017,41608019,156,d21dc1b90709465db2a625835ff2b0bf6fa2bba5,android,ok,0,plain,"",false,,,,,,,,,"",,
41614807,41614808,157,72e93e6fc46d33acc1e34d9a315df41eac989e6c,android,ok,0,plain,"",false,,,,,,,,,"",,
41616054,41616055,158,f10eef310cce25df65875029189969a6f55cf463,android,ok,0,plain,"",false,,,,,,,,,"",,
41616215,41616216,159,7ff3cb814d9d4a7fb3837c39f72922835bc9b34b,android,broken,1,plain,"",false,,,,,,,,,"",,
