tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
69046941,69046942,1000,dd6a81b644ae3263b3170722897bd11351ed791d,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
69046941,69046943,1000,dd6a81b644ae3263b3170722897bd11351ed791d,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
69046941,69046944,1000,dd6a81b644ae3263b3170722897bd11351ed791d,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
69047585,69047588,1001,494b2f09e743a74097151a17d90eaa48fe70ffbc,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",15.66,44.31
69047585,69047592,1001,494b2f09e743a74097151a17d90eaa48fe70ffbc,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",17.46,51.59
69047585,69047596,1001,494b2f09e743a74097151a17d90eaa48fe70ffbc,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",10.15,29.65
69047607,69047610,1002,6e2a7a968f678b0b55fbb1bf64db4c5f468b1a0c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",14.94,43.01
69047607,69047615,1002,6e2a7a968f678b0b55fbb1bf64db4c5f468b1a0c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",20.82,58.89
69047607,69047616,1002,6e2a7a968f678b0b55fbb1bf64db4c5f468b1a0c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",10.38,30.83
69085227,69085228,1003,111ba77a59132c2eac11639434fd5e6bda83db66,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",14.89,42.66
69085227,69085229,1003,111ba77a59132c2eac11639434fd5e6bda83db66,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",17.33,49.13
69085227,69085230,1003,111ba77a59132c2eac11639434fd5e6bda83db66,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",8.72,24.03
69085236,69085237,1004,478e4beddb385be5db8051a18836814493233733,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",14.69,42.67
69085236,69085238,1004,478e4beddb385be5db8051a18836814493233733,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",17.44,51.72
69085236,69085239,1004,478e4beddb385be5db8051a18836814493233733,java,ok,0,java-maven,junit,true,false,260,0,260,0,,,,"",9.21,23.8
69114746,69114747,1005,dc2e90f38639889bfedad4a923c30f4c57f7571c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",19.939999999999998,52.91
69114746,69114748,1005,dc2e90f38639889bfedad4a923c30f4c57f7571c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",20.509999999999998,54.89
69114746,69114749,1005,dc2e90f38639889bfedad4a923c30f4c57f7571c,java,ok,1,java-maven,junit,true,false,260,0,260,0,,,,"",16.43,44.92
69135376,69135378,1006,9f7b733afca35181d15ca73f9b921cb5a31c0c01,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
69135376,69135380,1006,9f7b733afca35181d15ca73f9b921cb5a31c0c01,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
69135376,69135382,1006,9f7b733afca35181d15ca73f9b921cb5a31c0c01,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
