tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
32867013,32867014,1000,0ca267f4f03c5e09a95bf302df7086e4f03c4f4f,java,broken,,java-ant,junit,true,false,2,0,2,34,,,,"",2.15,1169
32867013,32867017,1000,0ca267f4f03c5e09a95bf302df7086e4f03c4f4f,java,broken,,java-ant,junit,true,false,2,0,2,38,,,,"",1.68,1207
32877506,32877507,1001,96755965a15562ce169ce5cdc44b1e0c47c3225b,java,broken,,java-ant,junit,true,true,1,1,2,0,,,,"",0.25,578
32877506,32877508,1001,96755965a15562ce169ce5cdc44b1e0c47c3225b,java,broken,,java-ant,junit,true,false,3,0,3,0,,,,"",0.01,488
32958273,32958274,1002,fedc98806f9f502d4cc0f4e181efd1e813278b40,java,broken,,java-ant,"",false,,,,,,,,,"",,340
32958273,32958275,1002,fedc98806f9f502d4cc0f4e181efd1e813278b40,java,broken,,java-ant,"",false,,,,,,,,,"",,342
33057457,33057458,1003,2d29c812ec8a4a84fa9b2bc364da2d787f346048,java,broken,,java-ant,junit,true,false,2,0,2,27,,,,"",2.67,1306
33057457,33057459,1003,2d29c812ec8a4a84fa9b2bc364da2d787f346048,java,broken,,java-ant,junit,true,true,27,1,28,38,,,,"",8.07,1104
33074106,33074107,1004,5254ace892dc004226d92f17feb79ecebb613413,java,broken,,java-ant,junit,true,false,2,0,2,111,,,,"",1.31,1313
33074106,33074108,1004,5254ace892dc004226d92f17feb79ecebb613413,java,broken,,java-ant,"",false,,,,,,,,,"",,100
33101826,33101827,1005,dd58b0e8d26c053a2bc0fbbfbacf14d1a1502cbd,java,broken,,java-ant,junit,true,false,2,0,2,122,,,,"",6.01,2199
33101826,33101828,1005,dd58b0e8d26c053a2bc0fbbfbacf14d1a1502cbd,java,broken,,java-ant,"",false,,,,,,,,,"",,429
33148413,33148414,1006,647b919e76be328ae10073506fbb98972399be48,java,unknown,,java-ant,junit,true,false,7,0,7,122,,,,"",14.19,
33148413,33148415,1006,647b919e76be328ae10073506fbb98972399be48,java,broken,,java-ant,"",false,,,,,,,,,"",,1165
33256650,33256651,1007,1a05c80308f9c294aa47be698e9bbd1be9213df2,java,unknown,,java-ant,junit,true,false,7,0,7,121,,,,"",11.9,
33256650,33256652,1007,1a05c80308f9c294aa47be698e9bbd1be9213df2,java,unknown,,java-ant,junit,true,false,1,0,1,119,,,,"",2.65,
33271011,33271012,1008,26a301e4f1c8eb01e270d88bbaa48cf1c4a8221c,java,broken,,java-ant,"",false,,,,,,,,,"",,90
33271011,33271013,1008,26a301e4f1c8eb01e270d88bbaa48cf1c4a8221c,java,broken,,java-ant,"",false,,,,,,,,,"",,99
33290103,33290104,1009,e93d3494b3e5812606e655a31ef710c4d20f9dc7,java,unknown,,java-ant,junit,true,false,14,0,14,127,,,,"",5.91,
