tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
64363539,64363540,100,a16b6fe3364de6a90c5e86cbb4a3192d3bb1ea54,java,broken,0,java-maven,junit,true,true,660062,1,660063,0,,,,testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,468.7899999999997,495
64363539,64363541,100,a16b6fe3364de6a90c5e86cbb4a3192d3bb1ea54,java,broken,0,java-maven,junit,true,true,660062,1,660063,0,,,,testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,572.1199999999989,590
64363539,64363542,100,a16b6fe3364de6a90c5e86cbb4a3192d3bb1ea54,java,broken,0,java-maven,junit,true,true,660062,1,660063,0,,,,testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,536.0599999999995,560
64954459,64954460,101,2b9d1761e6f913cbe044f1b80033e555e1500539,java,broken,1,java-maven,junit,true,true,820358,2,820360,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,538.7599999999991,568
64954459,64954462,101,2b9d1761e6f913cbe044f1b80033e555e1500539,java,broken,2,java-maven,junit,true,true,820359,1,820360,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,524.8499999999996,543
64954459,64954463,101,2b9d1761e6f913cbe044f1b80033e555e1500539,java,broken,1,java-maven,junit,true,true,820358,2,820360,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,558.7899999999993,580
65119629,65119630,102,b7413f6197c78856b7f706c773f4b9a415e4e996,java,broken,2,java-maven,junit,true,true,820360,2,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#testExpandDuringRefresh(com.google.common.cache.CacheLoadingTest)#,575.0499999999989,608
65119629,65119631,102,b7413f6197c78856b7f706c773f4b9a415e4e996,java,broken,2,java-maven,junit,true,true,820361,1,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,709.1099999999991,736
65119629,65119632,102,b7413f6197c78856b7f706c773f4b9a415e4e996,java,broken,2,java-maven,junit,true,true,820361,1,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,502.12999999999954,519
65150091,65150092,103,3bea24c6ad264e9a450debee9808993bdaa25ea5,java,broken,1,java-maven,junit,true,true,820361,1,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,586.0499999999994,618
65150091,65150094,103,3bea24c6ad264e9a450debee9808993bdaa25ea5,java,broken,1,java-maven,junit,true,true,820361,1,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,535.3299999999996,554
65150091,65150095,103,3bea24c6ad264e9a450debee9808993bdaa25ea5,java,broken,1,java-maven,junit,true,true,820361,1,820362,0,,,,testNewTypeVariable(com.google.common.reflect.TypesTest)#,515.7599999999995,533
65301628,65301629,104,9ac7331cdf831adf55842cce6fd9563b09d4766f,java,ok,2,java-maven,junit,true,false,825983,0,825983,0,,,,"",707.5899999999996,758
65301628,65301630,104,9ac7331cdf831adf55842cce6fd9563b09d4766f,java,ok,1,java-maven,junit,true,false,825983,0,825983,0,,,,"",766.0999999999992,803
65301628,65301631,104,9ac7331cdf831adf55842cce6fd9563b09d4766f,java,ok,2,java-maven,junit,true,false,825983,0,825983,0,,,,"",704.3299999999991,740
65939138,65939139,105,cc3b0f8dc48497a2911dfe31f60fe186b3fed8d4,java,ok,2,java-maven,junit,true,false,825986,0,825986,0,,,,"",646.4099999999991,699
65939138,65939140,105,cc3b0f8dc48497a2911dfe31f60fe186b3fed8d4,java,ok,1,java-maven,junit,true,false,825986,0,825986,0,,,,"",715.7999999999996,752
65939138,65939141,105,cc3b0f8dc48497a2911dfe31f60fe186b3fed8d4,java,ok,2,java-maven,junit,true,false,825986,0,825986,0,,,,"",587.3299999999997,615
66236976,66236977,106,578a7944a7611b7433c05d5674fe390171004798,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",900.9799999999992,965
66236976,66236978,106,578a7944a7611b7433c05d5674fe390171004798,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",679.6699999999994,715
66236976,66236979,106,578a7944a7611b7433c05d5674fe390171004798,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",660.3499999999993,693
66450902,66450903,107,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",767.3199999999995,825
66450902,66450904,107,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",656.8699999999992,693
66450902,66450906,107,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",664.6599999999992,695
66477264,66477265,108,67862aee98a823bc8ce926e4599b1eb83fc695b1,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",649.3299999999997,697
66477264,66477267,108,67862aee98a823bc8ce926e4599b1eb83fc695b1,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",592.0099999999995,622
66477264,66477268,108,67862aee98a823bc8ce926e4599b1eb83fc695b1,java,ok,1,java-maven,junit,true,false,825988,0,825988,0,,,,"",572.4099999999996,599
66895153,66895154,109,287c48c59c740892190a0858218b7383b14f1b98,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",741.6899999999989,797
66895153,66895155,109,287c48c59c740892190a0858218b7383b14f1b98,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",637.0099999999994,666
66895153,66895156,109,287c48c59c740892190a0858218b7383b14f1b98,java,ok,3,java-maven,junit,true,false,825987,0,825987,0,,,,"",613.9999999999995,660
41301482,41301486,10,4a2e64ec15bbc8e6690093374df5172ca36d5307,java,unknown,78,java-ant,"",false,,,,,,,,,"",,
41301482,41301487,10,4a2e64ec15bbc8e6690093374df5172ca36d5307,java,ok,0,java-maven,junit,true,false,663673,0,663673,0,,,,"",746.1999999999991,800
66928218,66928219,110,3d04a569461d2d4bd978d822b3e01007d2e4bfd6,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",718.299999999999,767
66928218,66928220,110,3d04a569461d2d4bd978d822b3e01007d2e4bfd6,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",841.4699999999992,888
66928218,66928221,110,3d04a569461d2d4bd978d822b3e01007d2e4bfd6,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",701.699999999999,735
66966159,66966160,111,a6ce7b511bff96f39c56e598143557dcff08db86,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",659.8999999999993,714
66966159,66966161,111,a6ce7b511bff96f39c56e598143557dcff08db86,java,ok,2,java-maven,junit,true,false,825987,0,825987,0,,,,"",667.0899999999996,704
66966159,66966162,111,a6ce7b511bff96f39c56e598143557dcff08db86,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",638.7199999999995,670
67070819,67070821,112,d675f3c0a3c96c6a2569a677f5a94c586d68d75f,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",699.1399999999994,749
67070819,67070823,112,d675f3c0a3c96c6a2569a677f5a94c586d68d75f,java,ok,1,java-maven,junit,true,false,825987,0,825987,0,,,,"",828.8699999999993,874
67070819,67070825,112,d675f3c0a3c96c6a2569a677f5a94c586d68d75f,java,ok,2,java-maven,junit,true,false,825987,0,825987,0,,,,"",673.3499999999992,710
67552129,67552130,113,11436790a0955331daac9202393f322962f098db,java,ok,0,java-maven,junit,true,false,825988,0,825988,0,,,,"",651.5499999999996,698
67552129,67552131,113,11436790a0955331daac9202393f322962f098db,java,ok,0,java-maven,junit,true,false,825988,0,825988,0,,,,"",675.9699999999995,712
67552129,67552132,113,11436790a0955331daac9202393f322962f098db,java,ok,0,java-maven,junit,true,false,825988,0,825988,0,,,,"",791.2999999999989,827
