tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
52151803,52151804,1001,d992197abc151b4c502a862b93af8716a269abcf,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52219013,52219014,1002,6f9b8fdbae7b6299a5dffb5068efba8c367c48ea,groovy,ok,0,plain,"",false,,,,,,,,,"",,
52238205,52238206,1003,dd3921789fe0bc4ce74011b91ca013867aa31427,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52242957,52242958,1004,de7910f8348b3d35bf3209fde0352c1b4bbeb8e8,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52251044,52251045,1005,967dfc26a93b175283e287f2be6e6b3be8247b58,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52258983,52258984,1006,ba86af61c8cd10e211fdd589fd79c8abd569cd91,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52272460,52272461,1007,ba86af61c8cd10e211fdd589fd79c8abd569cd91,unknown,cancelled,,plain,"",false,,,,,,,,,"",,
52289121,52289123,1008,d61515f4c21e5539406e519bd7514d0fa511d131,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52289575,52289576,1009,967dfc26a93b175283e287f2be6e6b3be8247b58,groovy,cancelled,2,plain,"",false,,,,,,,,,"",,
29707441,29707442,100,0f692156cb7b3f15aa30db164087138c96d010f3,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
52294431,52294432,1010,142280bcb3b8839685340c561822454328af9b64,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52389482,52389483,1011,6ee00ecfab300c0ed206e2e45421ea78506869a2,groovy,ok,0,plain,"",false,,,,,,,,,"",,
52393953,52393954,1012,d9c2f74ecb31c4c19ff86bcc004f072371d2d92a,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52399529,52399530,1013,c7ebac82105cda9c572415e48c0b734259efb742,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52428260,52428261,1014,e80805647a8417af424cb85ee033c6aab0f86155,groovy,ok,19,plain,"",false,,,,,,,,,"",,
52487516,52487518,1015,801184567ddb07f8e6cee0a982d8030fa6e7ec51,groovy,ok,1,plain,"",false,,,,,,,,,"",,
52487517,52487519,1015,b46da3a8ac06d62ed8b816b6974b4044c7deefdb,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52487520,52487522,1016,27e6ed193a64e7b708ba1cbf7ecb55bbb8a2800d,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52499314,52499315,1017,13efb531ce07f4ad78c9edb4a0058ac4e4566a0a,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52542088,52542089,1018,6d80f7494d38239882883aeda2dee5212cf2915f,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52583721,52583722,1019,076edbdc3c4a46fdd8cdba8e9f68a3966546239c,groovy,broken,2,plain,"",false,,,,,,,,,"",,
29866969,29866970,101,a066cbd4cd13596fbdf3ec0523bd48ccd3aa0fe1,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
52744606,52744607,1020,241d75337ada19f5b7ffcf48ed1a8d541f73f20b,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52751041,52751042,1021,040ee205e1ec5edc2c4eb98e2f7b9a7723a6654e,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52755390,52755391,1022,1db78d3274743675f1696428d22d686eb28ca786,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52756200,52756201,1023,cc4f879adb80213e61e09b924484be56564eed8c,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52756481,52756482,1024,6b0abc15f24e0684e6296ea4f99a2e2024bb7d1e,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
52765775,52765777,1026,80b4a1d6cebb4bf660c97a9da08ecae904d9188d,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52773209,52773210,1027,470724bffee94d4422ac701470078ebb94db5353,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52793710,52793711,1028,e1afa369d11299ff0b50641a1a689b55b221ce54,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52806613,52806614,1029,1989584751226d2ff852f68021f0e44877c5998f,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
29900260,29900261,102,30f7cf3deeed02596025bbc78a3707965cae0780,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
52810544,52810545,1030,39d484c7c00fde59594fad4c6ba75332a7232f84,groovy,broken,2,plain,"",false,,,,,,,,,"",,
52822808,52822809,1031,fe20a2ed5092cbf40426f26ccd25e20b9456c11f,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52890740,52890741,1032,fb3232d269d51c33779f0e1005c3c814338d77f5,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52893946,52893948,1033,62701680240a533f4dfe55d0701d8e0bcce63b3f,groovy,ok,1,plain,"",false,,,,,,,,,"",,
52917712,52917713,1034,947a1bcd32461c0c45caebdcf9060fb9b0d0694d,groovy,ok,4,plain,"",false,,,,,,,,,"",,
52922041,52922042,1035,eb53e69834b9e9ecfb58829cf5f4e88485fbeadc,groovy,broken,3,plain,"",false,,,,,,,,,"",,
52922658,52922661,1036,287d8850806be4ce2ab237504a4e0cc6cf206775,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52991625,52991627,1037,8ec07e88a28e89b0feb577115f80e2c1a30e06bd,groovy,ok,2,plain,"",false,,,,,,,,,"",,
52991626,52991628,1037,7ad292ffa6daaffe5252bf29377e17e5945081f0,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53029785,53029786,1038,189873935d86b9788acf308acc132c4abe018c67,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53037623,53037624,1039,8e012d1ebe12aa07f59c227750abcfcb211b127a,groovy,ok,6,plain,"",false,,,,,,,,,"",,
29954693,29954694,103,c33189dc740b3dc248b7d6b6b6d886defc4d30b5,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
53044225,53044226,1040,dba6ccfc2d2598b37d94bf6051ed6cc49b9feed0,groovy,ok,3,plain,"",false,,,,,,,,,"",,
53053416,53053417,1041,69988aaa7be2a933211650c8039f61f61ae14a67,groovy,ok,3,plain,"",false,,,,,,,,,"",,
53068759,53068760,1042,9132fb5d921b1af34cdf09b6c54215c51976281e,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53088857,53088858,1043,6db7df89f8ba1ea43612fa30020d7504d7a361ce,groovy,ok,3,plain,"",false,,,,,,,,,"",,
53167063,53167064,1044,d49098c4401b7cd4f2316e87503e58a0af66475d,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53187092,53187093,1045,c3e7175f7516ee785579a7a5deb6fa36c86e3fcd,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53219519,53219523,1046,140a60b268d4ed150c8f342a4cc56bbb9bbeb9c9,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53223925,53223926,1047,e2a5544e7534bbc3234053a031fe9608ec9f4552,groovy,ok,3,plain,"",false,,,,,,,,,"",,
53224354,53224355,1048,6eebbc8ebc1be73cb7effa5ef4eaa6faaf3f5417,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53313396,53313397,1049,097c3a53031e3f0323cb5e717440769b0ae203ff,groovy,broken,2,plain,"",false,,,,,,,,,"",,
29970318,29970319,104,d5485a622560fb847842a084d7c111a5dafc2bd7,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
53319294,53319295,1050,c751dbac969a664523753d32e41de0482257dcf1,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53321750,53321751,1051,78d1c22374fdd565dde8c238207894a03ff80463,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53323933,53323934,1052,69130a4f72825c42102b8c100ae5b737dde3774c,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53351152,53351153,1053,3a68e7f0548ed253f9f85eecc97510240b911bd8,groovy,unknown,3,plain,"",false,,,,,,,,,"",,
53359994,53359995,1054,1d4d5a3c0f8ce04a581d7b027a9619b27a3a881e,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53362237,53362238,1055,965105119fdd8b963322d8ae67108f60ed6ddee4,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53375408,53375409,1056,443e5770f16c906940c2e1b699142ab3ab1e6287,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53625133,53625134,1057,3e8f9af86029b796de957ad79ea175fea808de5b,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53627725,53627726,1058,94cf377cc870ef761a2f6383ef02eff842d3f5db,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53632006,53632007,1059,88b510fcccaac1dbdccc0f44a5a557dd82e45d5e,groovy,broken,2,plain,"",false,,,,,,,,,"",,
29971118,29971119,105,b75178600b2da4eb9fd8778ff1990320e798e8a7,java,broken,,java-gradle,"",false,,,0,,,,,,"",,
53635112,53635113,1060,8832f11c6990d26628e152ecfb5318752c766721,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53647887,53647888,1061,ddbf55ba84e50d8b7244ffa733caea5c4171a2d4,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
53650164,53650165,1062,6e607663006bf3ef1ceccc49f654009909a15120,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
53652908,53652909,1063,c99ccc9ea7ddf8d27624f1d97c7eb9b0fe6755d4,groovy,ok,2,plain,"",false,,,,,,,,,"",,
53654581,53654582,1064,22e6c10f4830f6e94796b3107460fb3652aa585e,unknown,cancelled,,plain,"",false,,,,,,,,,"",,
53654712,53654713,1065,cd2b5812080d5a2bc0a8f7aeece01158cb0c1fb6,groovy,cancelled,2,plain,"",false,,,,,,,,,"",,
53657454,53657455,1066,5ea463eca014efc2abce1d9e173ce91340923a4d,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
53660293,53660294,1067,49dece86f9ff910aa8ec92436dcd123c62590493,groovy,cancelled,3,plain,"",false,,,,,,,,,"",,
53661900,53661901,1068,24df0c6f58f49e016d67595ace43a66410fadd5c,groovy,unknown,4,plain,"",false,,,,,,,,,"",,
53666611,53666612,1069,dc9710a22045c976c5c4deefeb36a636d88350f4,groovy,cancelled,2,plain,"",false,,,,,,,,,"",,
29980574,29980575,106,4b9711160ff725212171014af8e8e377a845a59f,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
53669232,53669233,1070,ebb24debec427ddada13261ed579fee6d44cb82d,groovy,cancelled,2,plain,"",false,,,,,,,,,"",,
53671865,53671866,1071,e243ce6b223eb2b59885fe64497428bd79cfa427,groovy,cancelled,2,plain,"",false,,,,,,,,,"",,
53673846,53673847,1072,9ffa28c886433b67efaa9162a1821c0e77e7414a,groovy,broken,2,plain,"",false,,,,,,,,,"",,
53675549,53675550,1073,20c76de365fcbe5383fdc1ec397a27462263434f,groovy,unknown,2,plain,"",false,,,,,,,,,"",,
