tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
111804795,111804796,1000,a670877df172a06e6a96d52a417671084d748c0c,java,ok,38,java-gradle,"",false,,,0,,,,,,"",,
111927638,111927639,1001,7fb2f3b72318975c0c5338f38f4d445c0b0970bd,java,ok,25,java-gradle,"",false,,,0,,,,,,"",,
112282208,112282209,1002,9f5cdf6ec757bfb4c1c63166c0a004153a4eb05b,java,ok,23,java-gradle,"",false,,,0,,,,,,"",,
112310897,112310899,1003,454e210d3db47b1ce511bc2528fd66602c380f4d,java,unknown,35,java-gradle,"",false,,,0,,,,,,"",,
112318481,112318482,1004,d76cb997726cacc4c6e5a968a60c4784b00dbf75,java,unknown,33,java-gradle,"",false,,,0,,,,,,"",,
112327127,112327128,1005,9670f256f84a3ad61f733204f70cfa2ca107ab05,java,ok,28,java-gradle,"",false,,,0,,,,,,"",,
112347926,112347927,1006,9b7b3638a728a0099b1dae9f2940f18965a83185,java,ok,35,java-gradle,"",false,,,0,,,,,,"",,
112348156,112348157,1007,99665055b56edebe10b6c9c862b7f8208de87ce8,java,ok,31,java-gradle,"",false,,,0,,,,,,"",,
112364057,112364058,1008,013fd08bd2e406ce8f59ff0f3d7f54be27955a2d,java,ok,35,java-gradle,"",false,,,0,,,,,,"",,
112364684,112364685,1009,963bbd42e58b000a7de4986781caa774a130ad4b,java,ok,34,java-gradle,"",false,,,0,,,,,,"",,
43533137,43533138,100,08ac64cd63c45684a926833d75cb732ac5804a1e,java,ok,12,java-gradle,"",false,,,0,,,,,,"",,
112415904,112415906,1010,570c714c2519cc98370b6451205a11191b1d7657,java,ok,34,java-gradle,"",false,,,0,,,,,,"",,
112430645,112430646,1011,44601cf5ffbb0fc2a4d64910a7aa183d991004f9,java,ok,32,java-gradle,"",false,,,0,,,,,,"",,
112430722,112430723,1012,6a1383a155c2afe98b95c53c110beb81b5e77db2,java,ok,37,java-gradle,"",false,,,0,,,,,,"",,
112434718,112434719,1013,44601cf5ffbb0fc2a4d64910a7aa183d991004f9,java,ok,33,java-gradle,"",false,,,0,,,,,,"",,
112434720,112434721,1014,44601cf5ffbb0fc2a4d64910a7aa183d991004f9,java,ok,33,java-gradle,"",false,,,0,,,,,,"",,
112439283,112439284,1015,44601cf5ffbb0fc2a4d64910a7aa183d991004f9,java,ok,35,java-gradle,"",false,,,0,,,,,,"",,
112760818,112760819,1016,8413ed715c5d60f58967c0024ff92bf29cd4c594,java,unknown,51,java-gradle,"",false,,,0,,,,,,"",,
112801166,112801167,1017,94dd0ca82cf3f82937b158bb9858e6d540127abb,java,ok,26,java-gradle,"",false,,,0,,,,,,"",,
112915697,112915698,1018,f4098ce89cc65b381906cf3859d17281b264c313,java,ok,39,java-gradle,"",false,,,0,,,,,,"",,
112989531,112989534,1019,5c99e101ebd197cc88af63b8b99e77e6dcfdbb57,java,ok,24,java-gradle,"",false,,,0,,,,,,"",,
43533723,43533724,101,373eaeae301355c08f5b3c17ffcc22bb5f040713,java,ok,8,java-gradle,"",false,,,0,,,,,,"",,
112999157,112999158,1020,a4aa3368c66a205896554f707d9507ddddb633d4,java,ok,50,java-gradle,"",false,,,0,,,,,,"",,
