tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
61127717,61127718,1000,d5fb5b1f6b1da9d3097c712d5134f77c271665a8,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",15.440000000000001,113
61127717,61127719,1000,d5fb5b1f6b1da9d3097c712d5134f77c271665a8,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.28,117
61127717,61127720,1000,d5fb5b1f6b1da9d3097c712d5134f77c271665a8,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.789999999999999,192
61129440,61129441,1001,531cff00601be16a2f2e74c9663008acaaeebae4,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",16.78,119
61129440,61129442,1001,531cff00601be16a2f2e74c9663008acaaeebae4,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.89,128
61129440,61129443,1001,531cff00601be16a2f2e74c9663008acaaeebae4,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",6.129999999999999,212
61172369,61172370,1002,c3d7b8fe70edb12cbbaf4ad12a04c7832a5ce008,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",16.7,95
61172369,61172371,1002,c3d7b8fe70edb12cbbaf4ad12a04c7832a5ce008,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.709999999999999,128
61172369,61172372,1002,c3d7b8fe70edb12cbbaf4ad12a04c7832a5ce008,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",6.3,196
61175784,61175785,1003,80a633fe4a3c38580a9762136200938282ce27e6,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",16.56,130
61175784,61175786,1003,80a633fe4a3c38580a9762136200938282ce27e6,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.949999999999999,126
61175784,61175787,1003,80a633fe4a3c38580a9762136200938282ce27e6,java,ok,3,java-maven,junit,true,false,163,0,163,0,,,,"",8.19,276
61176398,61176399,1004,f5a4c79d5b8bbf667bed1d733d0bfb67ab8b36a0,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",17.54,127
61176398,61176402,1004,f5a4c79d5b8bbf667bed1d733d0bfb67ab8b36a0,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.899999999999999,122
61176398,61176403,1004,f5a4c79d5b8bbf667bed1d733d0bfb67ab8b36a0,java,ok,4,java-maven,junit,true,false,163,0,163,0,,,,"",7.510000000000001,276
61183458,61183459,1005,8da0229d1bbec961da47cb6cfdb2c3600bbf2878,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",17.689999999999998,118
61183458,61183460,1005,8da0229d1bbec961da47cb6cfdb2c3600bbf2878,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",6.35,136
61183458,61183461,1005,8da0229d1bbec961da47cb6cfdb2c3600bbf2878,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",5.899999999999998,187
61260279,61260281,1006,4ef2b92d3c51a341c22c2b024287b363a196e4fc,java,ok,2,java-maven,junit,true,false,180,0,180,0,,,,"",23.09,155
61260279,61260282,1006,4ef2b92d3c51a341c22c2b024287b363a196e4fc,java,ok,2,java-maven,junit,true,false,163,0,163,0,,,,"",6.29,131
61260279,61260283,1006,4ef2b92d3c51a341c22c2b024287b363a196e4fc,java,unknown,2,java-ant,"",false,,,,,,,,,"",,
