tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
23689367,23689368,101,5be9272492addd392545cdbdfcf9940a3b5b4386,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",28.27,
23689367,23689369,101,5be9272492addd392545cdbdfcf9940a3b5b4386,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",24.89,
23716735,23716736,102,ea4b21fd7cc00d04f6f43e345f1115808b04486d,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",23.459999999999994,
23716735,23716737,102,ea4b21fd7cc00d04f6f43e345f1115808b04486d,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",15.700000000000001,
24352579,24352581,103,a0a3a90e6b207fae6492a0069b4fd02db27b0fc6,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",24.34,68
24352579,24352584,103,a0a3a90e6b207fae6492a0069b4fd02db27b0fc6,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",11.22,32.13
24352580,24352582,103,a0a3a90e6b207fae6492a0069b4fd02db27b0fc6,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",20.549999999999994,59.25
24352580,24352583,103,a0a3a90e6b207fae6492a0069b4fd02db27b0fc6,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",11.94,34.56
24352587,24352588,104,f67e40d179dac05d8ae2275df8953268f53cc7ec,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",29.3,69
24352587,24352589,104,f67e40d179dac05d8ae2275df8953268f53cc7ec,java,ok,,java-maven,junit,true,false,292,0,292,0,,,,"",13.46,41.16
