tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
13992895,13992896,100,bbbb14678117dbe9d141d55c740b9586df76771e,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14043730,14043731,101,feed38ef753b80afd6ee25e74dad1ccfdc0b775c,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14044220,14044221,102,18453aa56097fa2242629f2a7e20e0dc77d1067a,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14055954,14055955,103,1bbb5ff1f5fced8caca76063c1d92186451868d2,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14060971,14060972,104,f620e905c62d9714cd0d8a2921d2b63f075652e3,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14061007,14061008,105,e79d5dcb4c439fc819ea2d0e8ecc9c33248b327c,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14061820,14061821,106,cd5f0e8545c290f091e56f3f9127b7da975d4b91,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14064438,14064439,107,b7f9e02a657985b310acf2e077e4d9dc409f5bc3,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14064826,14064827,108,9154de7686aafd1c3d96bad67af3b5748b853b62,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14065239,14065240,109,cf68cfa39216668788b20c5a02adc44f9f402a42,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
12444448,12444449,10,1e1e1dd78b6b8a06728a55dc304549bffa6d7d7a,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14065670,14065671,110,8cefd5e8a9a2b255c0d5b29b80cc66d414bd6e6a,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14067987,14067990,111,c53f350ad42809d0549c260f838d1fbe273c2609,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14068030,14068031,112,ab3abaeaf7d6c9b2dba29ff1924b04d47d3f52c2,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14068591,14068592,113,b33773d0773c963fdf61090a74e4a58fff0e7396,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14140849,14140850,114,33c3376b778eb2416be8f78d61a682c4119ed2cb,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14450394,14450395,115,666798e0413b97ef7eaf68da845602f0592a52e5,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14450853,14450854,116,cef711fae344d09cd60c4d45a999f77cdc5b0178,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14464335,14464336,117,2e0e8644590bd168c797b2b7e3861708c05a5b2f,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
14464815,14464816,118,1b720a51bfb98463ddb4147a649739447599f492,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15451429,15451430,119,71556bdaa55a7c6bc4eee026c862e6af7c891f4e,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
12445872,12445873,11,fa31db815324ef3ecc98d5e067ef53d36b15bb34,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15452117,15452118,120,a3eb0534cab8f12821d812efeff11f30760d0bb9,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15525216,15525217,121,4bcce79714a11c434027633e54296b372219f91a,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15590316,15590317,122,93649197c2cfa9d4679666c0ece4167b86380de7,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15591387,15591388,123,707f970be1250a159f5868d0074af06549afb2fe,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
15929112,15929113,124,1292fef9711d969fa4d013ddd06b17192bdc0f66,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
15929449,15929450,125,cd1855f2c4e204a7cffd65ea755a5eaa700ee3c6,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
15965776,15965777,126,43c2c3f8fb2f415212403122d21d64216f6831d7,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16062040,16062041,127,48799847ae77b2a421587e19210a58bdd9b83227,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16062237,16062238,128,4eba940fdc918fa68814de0cbce26906b8e46da0,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16083959,16083960,129,9c836c611cacfccc6a03fc923cb07769de58aa72,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
12446882,12446883,12,5f47d1a35721b6d9cbdd37494c4983f414813afc,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
16084173,16084174,130,76eedb20bc5dfd023b0f506403ebc59adffcbac1,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16084424,16084425,131,ed6dc12c09d5e86e153478e0ae6d6b4e4e63d408,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16084584,16084585,132,656a244fd52456fa7edc8b95723fc9b597d68a7f,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
16222747,16222748,133,b28a2218f603ceb29542ff0e45770b4202abef80,java,unknown,,java-gradle,"",false,,,0,,,,,,"",,
