tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
143759418,143759419,1000,a07a28d6e4b8da704eed47f6f9e0611b1e545b03,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143761867,143761868,1001,a976dab88a903caea0326002ab689fdb2a47556d,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
143762139,143762140,1002,c6332dd07507d9947ad84a41647b1fcbed74bfe4,java,broken,3,java-gradle,junit,true,false,,0,,,,,,"",,
143762571,143762572,1003,9406b1ffd793f5deaa3c9de3f0c1a87d1f22a55b,java,unknown,1,java-gradle,junit,true,false,,0,,,,,,"",,
143763727,143763728,1004,02699e039bbe6d1e5c15b57cc92e0524c1af0dd7,java,unknown,1,java-gradle,junit,true,false,,0,,,,,,"",,
143764228,143764229,1005,7aeba477cebe8650239406ad44d6224624a216f1,java,unknown,1,java-gradle,junit,true,false,,0,,,,,,"",,
143764677,143764678,1006,eb0efadc0f06f255388d21f943139f39756d29ad,java,unknown,1,java-gradle,junit,true,false,,0,,,,,,"",,
143765346,143765348,1007,743ac90ba1171fbcd12f78be9d009c6faf166f44,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143765834,143765835,1008,8916088bd98865efceeedc5dbdfe66a88ce60b10,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143766783,143766784,1009,c986f188765b480f5b7198c4f53dd494fce31cac,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
21756089,21756090,100,00d32ff0be3ff5d708d85735d1061543ff9e0ee4,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,93
143882692,143882693,1010,038637612ac8abe962094d87c9cf6252f60a49dc,java,ok,2,java-gradle,junit,true,false,,0,,,,,,"",,
143883528,143883529,1011,758cfacab43ee1c601e7b8273b34a980e2203108,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143888126,143888127,1012,5594a11ba509af5c80d343aa1496d2c146657b74,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143897297,143897298,1013,2803c5c7b1e56351220814159a6d9b48e41d2edd,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143899663,143899664,1014,9d1171f02a377dca009d6226fa32c74cd22fd5fe,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
143911278,143911279,1015,eddd5042107aded6a81c74141f77345a71ca754a,java,ok,4,java-gradle,junit,true,false,,0,,,,,,"",,
144135518,144135519,1016,3dc46c90a32555fa9256f084f2b9112bf0f84220,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
144136232,144136233,1017,64117fd2743b7971cd7905a968fd2ea332df17de,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
144138895,144138896,1018,03db790544e775dcbef75ec339c25fc6d5615703,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
144139963,144139964,1019,ebedc83868a69005745b623241559b113c6de288,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
21923769,21923770,101,7af148c4491dd1a9dbbb197e704974a88174aaea,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,93
144263055,144263056,1020,2c5012e32e8b8ece1400c67470d8572f3a4a5138,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
145347008,145347009,1021,1a949a029a67ee10868072673f923f7ec874af54,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
145358792,145358794,1022,8b5a3156b49e021471f9d1e365465d96bd4da79b,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
145651130,145651132,1023,032d311248b618282b0bfca8765aa8597c6d23dc,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
146787027,146787028,1024,5428eea45560f63c3d0cb6810c5f2f15ec7bcdc7,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
146796861,146796862,1025,6e0ad6279c601e775cd9bd487b3ae724ccc8bcdc,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
146799023,146799024,1026,98d83ecc13f441265581cc3571f8035bf4cdf9a5,java,broken,1,java-gradle,junit,true,true,1525,1,1526,43,,,,org.mockitousage.junitrunner.UnusedStubsExceptionMessageTest,0,76
146802066,146802067,1027,8e136da2034e412df90b6fd12248aa92bf078560,java,broken,1,java-gradle,junit,true,true,1525,1,1526,43,,,,org.mockitousage.junitrunner.UnusedStubsExceptionMessageTest,0,75
146802355,146802356,1028,1ba3c7b62393581c9bcf8e3310b9be19c4dea45c,java,broken,3,java-gradle,junit,true,true,1525,1,1526,43,,,,org.mockitousage.junitrunner.UnusedStubsExceptionMessageTest,0,79
146803790,146803791,1029,500c4f083c18a7661537d8fc7d01e76a0b1f08f8,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
22375331,22375332,102,e28752b779055717dec1e5c114c09d27e62f5c38,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,71
146803792,146803793,1030,ce109890145788bef68fbc48ecf6a0a198ce5934,java,ok,4,java-gradle,junit,true,false,,0,,,,,,"",,
146804448,146804449,1031,202a851dfc54fd044ee43b31432236acf810b401,java,ok,3,java-gradle,junit,true,false,,0,,,,,,"",,
146804455,146804456,1032,08ca996a7975b9058994c40b813951c3632f6c18,java,ok,4,java-gradle,junit,true,false,,0,,,,,,"",,
146805021,146805022,1033,657f4a5f49a693efd7847c3df21dc96682fd68a3,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
146805023,146805024,1034,fabcf70162f9c309dc9ad276ecf6f94ce994f210,java,ok,4,java-gradle,junit,true,false,,0,,,,,,"",,
147001464,147001465,1035,7bec9e0180bdc033be67ae89eaf1c8a678eab85a,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147003506,147003507,1036,bb8989bbc201b25aff4e192ecd030cde6c544715,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147003826,147003827,1037,ff87bf4211aedd96d0ea67a012e2a205af712290,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147004856,147004857,1038,407a9fdaed1627d54b90fd4570b2248849ea1bed,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147013810,147013811,1039,8ea74c64ba0497427b1ed341684e97b35ab031b0,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
22840466,22840467,103,d0c872e4b0837aef1e1635bf5f15d33c3d8d9698,java,ok,,java-gradle,junit,true,false,,0,,,,,,"",,
147015713,147015714,1040,657f4a5f49a693efd7847c3df21dc96682fd68a3,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147016536,147016537,1041,03d43695894af6265df05ff9db1d2215c60bbf60,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
147017273,147017274,1042,7649759daca5d9cd8c9eb9725c8e67a1e7eb5a07,java,ok,1,java-gradle,junit,true,false,,0,,,,,,"",,
