tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
64161399,64161400,1000,5096a6e2c819d36ba4e03728b1a167f13c059dd0,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64161399,64161402,1000,5096a6e2c819d36ba4e03728b1a167f13c059dd0,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64218447,64218448,1001,28cf791bc76a3ba5f7deb731cdb7575deb2d36a1,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64218447,64218449,1001,28cf791bc76a3ba5f7deb731cdb7575deb2d36a1,java,ok,2,java-gradle,"",false,,,0,,,,,,"",,
64218821,64218823,1002,237ce881af30fc0fadb62d002f5e741bb32ae88c,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64218821,64218824,1002,237ce881af30fc0fadb62d002f5e741bb32ae88c,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64220527,64220529,1003,0b8c6bea4389c3e8a415ee2731eae427b57c4329,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64220527,64220530,1003,0b8c6bea4389c3e8a415ee2731eae427b57c4329,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64220785,64220786,1004,6342bcbb51e2b222abdbe8168b84b4e9d3e374bd,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64220785,64220787,1004,6342bcbb51e2b222abdbe8168b84b4e9d3e374bd,java,ok,2,java-gradle,"",false,,,0,,,,,,"",,
64230091,64230092,1005,3694ae5ad691131bb4d625ae3e0aca2cf41ef0a5,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64230091,64230093,1005,3694ae5ad691131bb4d625ae3e0aca2cf41ef0a5,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64249155,64249156,1006,ed192a35f774582c7aed9968e1bc120a9ec0ddca,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64249155,64249157,1006,ed192a35f774582c7aed9968e1bc120a9ec0ddca,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64269514,64269515,1007,5ca4d2647e63c44f0eb8ccc0c8754768b947d3ab,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64269514,64269516,1007,5ca4d2647e63c44f0eb8ccc0c8754768b947d3ab,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64269811,64269812,1008,8d74d59b4ce5a9f2480b230eea85ea8ff3b5ff15,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64269811,64269813,1008,8d74d59b4ce5a9f2480b230eea85ea8ff3b5ff15,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64286046,64286047,1009,a611b1431cd10af16a47d3e52828f1f4cefa1fcf,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64286046,64286048,1009,a611b1431cd10af16a47d3e52828f1f4cefa1fcf,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
8356503,8356504,100,cb910514e22d3f1902d604576459b12584f2244f,java,ok,,java-gradle,"",false,,,0,,,,,,"",,
64307624,64307625,1010,4a2bac1aa745909cf9d9bc2cd5780e306b9c8cff,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64307624,64307626,1010,4a2bac1aa745909cf9d9bc2cd5780e306b9c8cff,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64308702,64308703,1011,0a937a54defa25fef08f897ee479327681ce074b,java,ok,0,java-gradle,"",false,,,0,,,,,,"",,
64308702,64308704,1011,0a937a54defa25fef08f897ee479327681ce074b,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
64310022,64310023,1012,526a77f67d829d073edd1280387cc14e68dc1400,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64310022,64310024,1012,526a77f67d829d073edd1280387cc14e68dc1400,java,broken,1,java-gradle,"",false,,,0,,,,,,"",,
64370258,64370259,1013,cf89a5ab6a6f6e8ebc5a01a9dda16403de741fc8,java,ok,1,java-gradle,"",false,,,0,,,,,,"",,
