tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
41109310,41109311,1000,65e7459788bf97ef877c16580688bb2933288bf1,java,ok,1,java-ant,"",false,,,,,,,,,"",,1131
41109310,41109312,1000,65e7459788bf97ef877c16580688bb2933288bf1,java,ok,4,java-ant,"",false,,,,,,,,,"",,1368
41110486,41110487,1001,a2a7e40d601b6c51d46cc9d1188381a6daa2c9d3,java,ok,2,java-ant,"",false,,,,,,,,,"",,1144
41110486,41110488,1001,a2a7e40d601b6c51d46cc9d1188381a6daa2c9d3,java,ok,2,java-ant,"",false,,,,,,,,,"",,1104
41110693,41110694,1002,9a8500ce42b1c9c492a6e6fcdc5f29d38f15407f,java,ok,2,java-ant,"",false,,,,,,,,,"",,1256
41110693,41110695,1002,9a8500ce42b1c9c492a6e6fcdc5f29d38f15407f,java,broken,2,java-ant,"",false,,,,,,,,,"",,748
41110696,41110697,1003,d185273c1e57e0cbe66bab9beeed0b06363cff8d,java,ok,1,java-ant,"",false,,,,,,,,,"",,1339
41110696,41110698,1003,d185273c1e57e0cbe66bab9beeed0b06363cff8d,java,ok,1,java-ant,"",false,,,,,,,,,"",,1121
41115867,41115868,1004,d6d54c731c153729b1961c7dcdcee9b7d37dc90c,java,ok,2,java-ant,"",false,,,,,,,,,"",,1216
41115867,41115869,1004,d6d54c731c153729b1961c7dcdcee9b7d37dc90c,java,unknown,113,java-ant,"",false,,,,,,,,,"",,
41150957,41150958,1005,d269c93ed61d8cfbb154ee6021bd20b5d2fde52f,java,ok,2,java-ant,"",false,,,,,,,,,"",,1234
41150957,41150959,1005,d269c93ed61d8cfbb154ee6021bd20b5d2fde52f,java,ok,2,java-ant,"",false,,,,,,,,,"",,1217
41185305,41185306,1006,958c657f505dc9ae1a5745cec18bae467cb07fed,java,ok,2,java-ant,"",false,,,,,,,,,"",,1557
41185305,41185307,1006,958c657f505dc9ae1a5745cec18bae467cb07fed,java,ok,2,java-ant,"",false,,,,,,,,,"",,1536
41185350,41185351,1007,092342af0e9ef9a93088dd84c7d27539b8e3f31f,java,ok,2,java-ant,"",false,,,,,,,,,"",,1490
41185350,41185352,1007,092342af0e9ef9a93088dd84c7d27539b8e3f31f,java,ok,2,java-ant,"",false,,,,,,,,,"",,1294
41237512,41237513,1008,4ef301857b3d2e75cab4c4b547208c0d9441dae3,java,ok,1,java-ant,"",false,,,,,,,,,"",,1484
41237512,41237514,1008,4ef301857b3d2e75cab4c4b547208c0d9441dae3,java,ok,1,java-ant,"",false,,,,,,,,,"",,1029
41241453,41241454,1009,4e208bcb8c68990b9ee55771196bfd7ae0a2c781,java,broken,1,java-ant,"",false,,,,,,,,,"",,99
41241453,41241455,1009,4e208bcb8c68990b9ee55771196bfd7ae0a2c781,java,broken,1,java-ant,"",false,,,,,,,,,"",,77
24346383,24346384,100,939b8d05fd57983996c7e09fd078dbbe7d25f25f,java,ok,,java-ant,"",false,,,,,,,,,"",,1121
24346383,24346385,100,939b8d05fd57983996c7e09fd078dbbe7d25f25f,java,unknown,,java-ant,"",false,,,,,,,,,"",,
41241459,41241460,1010,ee803a7932e66f33e6dbe08fd305c2cf939e3555,java,ok,3,java-ant,"",false,,,,,,,,,"",,1316
41241459,41241461,1010,ee803a7932e66f33e6dbe08fd305c2cf939e3555,java,ok,2,java-ant,"",false,,,,,,,,,"",,1025
41244186,41244187,1011,a8a432e524122ce9d37056d46a461162c4d8ab20,java,unknown,108,java-ant,"",false,,,,,,,,,"",,
41244186,41244188,1011,a8a432e524122ce9d37056d46a461162c4d8ab20,java,broken,1,java-ant,"",false,,,,,,,,,"",,79
41244191,41244192,1012,98d37fd901cde43947ae91160ebf577652af596d,java,broken,2,java-ant,"",false,,,,,,,,,"",,87
41244191,41244193,1012,98d37fd901cde43947ae91160ebf577652af596d,java,unknown,1,java-ant,"",false,,,,,,,,,"",,
41244317,41244318,1013,fe2201387a33e4856bb009d575f74e1ee542f238,java,ok,3,java-ant,"",false,,,,,,,,,"",,1455
41244317,41244319,1013,fe2201387a33e4856bb009d575f74e1ee542f238,java,ok,3,java-ant,"",false,,,,,,,,,"",,1822
41244320,41244321,1014,8292ef64ce674b87ac18f605c77cb49fcd6fdbd9,java,ok,1,java-ant,"",false,,,,,,,,,"",,1585
41244320,41244322,1014,8292ef64ce674b87ac18f605c77cb49fcd6fdbd9,java,ok,1,java-ant,"",false,,,,,,,,,"",,1057
41253628,41253629,1015,510380f958be464f76ad0e81f67b5e1a1d975465,java,ok,2,java-ant,"",false,,,,,,,,,"",,1998
41253628,41253630,1015,510380f958be464f76ad0e81f67b5e1a1d975465,java,ok,2,java-ant,"",false,,,,,,,,,"",,1646
41274567,41274568,1016,4c644cef38891eeb20383ff751824fc565b74293,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
41274567,41274569,1016,4c644cef38891eeb20383ff751824fc565b74293,java,ok,2,java-ant,"",false,,,,,,,,,"",,1168
41294494,41294495,1017,c07a87a120592cd99a884f116af976e5c30fba7e,java,ok,3,java-ant,"",false,,,,,,,,,"",,1722
41294494,41294496,1017,c07a87a120592cd99a884f116af976e5c30fba7e,java,ok,4,java-ant,"",false,,,,,,,,,"",,1673
41294772,41294773,1018,6239bc4938bdf471e5c8943675db5c5660cd05fb,java,ok,1,java-ant,"",false,,,,,,,,,"",,1479
41294772,41294774,1018,6239bc4938bdf471e5c8943675db5c5660cd05fb,java,ok,1,java-ant,"",false,,,,,,,,,"",,1291
41297140,41297141,1019,c35cd54c72bb436f89130a86a58316f67a2a02e9,java,ok,2,java-ant,"",false,,,,,,,,,"",,1459
41297140,41297142,1019,c35cd54c72bb436f89130a86a58316f67a2a02e9,java,ok,2,java-ant,"",false,,,,,,,,,"",,1108
24348097,24348098,101,903c1a5de3691c0108fdea591d1f840ae5299e9c,java,ok,,java-ant,"",false,,,,,,,,,"",,1127
41297143,41297144,1020,039f844930008fb747c911060746c6fe341b5625,java,ok,1,java-ant,"",false,,,,,,,,,"",,1338
41297143,41297145,1020,039f844930008fb747c911060746c6fe341b5625,java,ok,1,java-ant,"",false,,,,,,,,,"",,1245
41297991,41297992,1021,54e3f46bf6d72ff44bfbc6910dffc957d70aeb49,java,unknown,90,java-ant,"",false,,,,,,,,,"",,
41297991,41297993,1021,54e3f46bf6d72ff44bfbc6910dffc957d70aeb49,java,ok,3,java-ant,"",false,,,,,,,,,"",,1217
