tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
30702990,30702991,1000,56b1f44ee3e72ca0b9fc062b465c96a04ba911ad,java,ok,,java-ant,"",false,,,,,,,,,"",,
30702990,30702992,1000,56b1f44ee3e72ca0b9fc062b465c96a04ba911ad,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707354,30707355,1001,7ae7ca5595c89fc0a0dcb316a7d456d7075272e6,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707354,30707356,1001,7ae7ca5595c89fc0a0dcb316a7d456d7075272e6,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707593,30707594,1002,47a42f5ee5250af6a795bda3358ef39e490700ea,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707593,30707595,1002,47a42f5ee5250af6a795bda3358ef39e490700ea,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707855,30707856,1003,bdc712ad53b57c34eb148bd5122d9eab36a65820,java,ok,,java-ant,"",false,,,,,,,,,"",,
30707855,30707857,1003,bdc712ad53b57c34eb148bd5122d9eab36a65820,java,ok,,java-ant,"",false,,,,,,,,,"",,
30774808,30774809,1004,84d28098764ad7f222617b50141027096385260e,java,ok,,java-ant,"",false,,,,,,,,,"",,
30774808,30774810,1004,84d28098764ad7f222617b50141027096385260e,java,ok,,java-ant,"",false,,,,,,,,,"",,
30789814,30789815,1005,169e3c2ca027e342237c99fb3e29d1cbee2800e5,java,ok,,java-ant,"",false,,,,,,,,,"",,
30789814,30789816,1005,169e3c2ca027e342237c99fb3e29d1cbee2800e5,java,ok,,java-ant,"",false,,,,,,,,,"",,
31060325,31060326,1006,32b6caf923ecd974f55f41a172dad94e640f968c,java,ok,,java-ant,"",false,,,,,,,,,"",,
31060325,31060327,1006,32b6caf923ecd974f55f41a172dad94e640f968c,java,ok,,java-ant,"",false,,,,,,,,,"",,
31065605,31065608,1007,5acb41698fc33c49cb34f3721770a97d26fb9413,java,ok,,java-ant,"",false,,,,,,,,,"",,
31065605,31065612,1007,5acb41698fc33c49cb34f3721770a97d26fb9413,java,ok,,java-ant,"",false,,,,,,,,,"",,
31076916,31076917,1008,af1ade253f92c58d85627638a04fedeb82e20129,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31076916,31076918,1008,af1ade253f92c58d85627638a04fedeb82e20129,java,ok,,java-ant,"",false,,,,,,,,,"",,
31078557,31078558,1009,809618bfaf257c4d9a57e887f6b3e0b58b6b6eb5,unknown,unknown,,plain,"",false,,,,,,,,,"",,
31078557,31078559,1009,809618bfaf257c4d9a57e887f6b3e0b58b6b6eb5,unknown,unknown,,plain,"",false,,,,,,,,,"",,
11607836,11607837,100,566bb04602213688dfdc11c8ef726cf1adcfc908,java,ok,,java-maven,junit,true,true,358,1,359,0,,,,ShardStateWorkerTest.testStartStop#,570.7599999999996,
11607836,11607838,100,566bb04602213688dfdc11c8ef726cf1adcfc908,java,broken,,java-maven,junit,true,true,195,1,196,0,,,,ShardStateWorkerTest.testStartStop#,310.13999999999993,
31078794,31078795,1010,ba62d0562a2f109d1d25c454dc94ed929628569d,unknown,unknown,,plain,"",false,,,,,,,,,"",,
31078794,31078796,1010,ba62d0562a2f109d1d25c454dc94ed929628569d,unknown,unknown,,plain,"",false,,,,,,,,,"",,
31078929,31078930,1011,8143dc77a0887d94ce0e153569a409e05935c435,java,ok,,java-ant,"",false,,,,,,,,,"",,
31078929,31078931,1011,8143dc77a0887d94ce0e153569a409e05935c435,java,ok,,java-ant,"",false,,,,,,,,,"",,
31085270,31085271,1012,26139d4345589038951ea8840d7d53cbe1dbc228,java,ok,,java-ant,"",false,,,,,,,,,"",,
31085270,31085272,1012,26139d4345589038951ea8840d7d53cbe1dbc228,java,ok,,java-ant,"",false,,,,,,,,,"",,
31159576,31159577,1013,8ec2a8f6e1f2d0f594ad95d012b4b372536964a6,java,ok,,java-ant,"",false,,,,,,,,,"",,
31159576,31159578,1013,8ec2a8f6e1f2d0f594ad95d012b4b372536964a6,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31169235,31169236,1014,9713a4365e5273ef34328e4486c6dd8448ec03b2,java,ok,,java-ant,"",false,,,,,,,,,"",,
31169235,31169237,1014,9713a4365e5273ef34328e4486c6dd8448ec03b2,java,ok,,java-ant,"",false,,,,,,,,,"",,
31192283,31192284,1015,b0b075bb6c62accff81941232e782e8fc3f03c96,java,ok,,java-ant,"",false,,,,,,,,,"",,
31192283,31192285,1015,b0b075bb6c62accff81941232e782e8fc3f03c96,java,ok,,java-ant,"",false,,,,,,,,,"",,
31289244,31289245,1016,cb1772941a0b0dce56e34d66942e00c989e299c0,java,ok,,java-ant,"",false,,,,,,,,,"",,
31289244,31289246,1016,cb1772941a0b0dce56e34d66942e00c989e299c0,java,ok,,java-ant,"",false,,,,,,,,,"",,
31347576,31347577,1017,f09d8233fc14b61b7aeadef14dbb2b13db590c4e,java,ok,,java-ant,"",false,,,,,,,,,"",,
31347576,31347578,1017,f09d8233fc14b61b7aeadef14dbb2b13db590c4e,java,ok,,java-ant,"",false,,,,,,,,,"",,
31347604,31347605,1018,dbd2781a3cffd6c1aeba10634c12485ccdb612a3,java,ok,,java-ant,"",false,,,,,,,,,"",,
31347604,31347606,1018,dbd2781a3cffd6c1aeba10634c12485ccdb612a3,java,ok,,java-ant,"",false,,,,,,,,,"",,
31359053,31359054,1019,eb00da63c93b9762ce30709d6628171bc6fbf3b2,java,ok,,java-ant,"",false,,,,,,,,,"",,
31359053,31359055,1019,eb00da63c93b9762ce30709d6628171bc6fbf3b2,java,ok,,java-ant,"",false,,,,,,,,,"",,
11608946,11608947,101,d3c0f05e857f160b9c7c08103eaf90f27026754e,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",588.11,
11608946,11608948,101,d3c0f05e857f160b9c7c08103eaf90f27026754e,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",649.2,
31390758,31390759,1020,4edc113e1644dbd714b1c99f40a4727305fc8e4d,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31390758,31390760,1020,4edc113e1644dbd714b1c99f40a4727305fc8e4d,java,ok,,java-ant,"",false,,,,,,,,,"",,
31620313,31620314,1021,cf8c6146e48bda8b97b330fed7b7634838b38797,java,ok,,java-ant,"",false,,,,,,,,,"",,
31620313,31620315,1021,cf8c6146e48bda8b97b330fed7b7634838b38797,java,ok,,java-ant,"",false,,,,,,,,,"",,
31620399,31620400,1022,48e8441147c2fe89bc0059e7495eb1dc93cf357c,java,ok,,java-ant,"",false,,,,,,,,,"",,
31620399,31620401,1022,48e8441147c2fe89bc0059e7495eb1dc93cf357c,java,ok,,java-ant,"",false,,,,,,,,,"",,
31638222,31638223,1023,7e46b9a12c760d8e64de83a9ad2a380de9240e7e,java,ok,,java-ant,"",false,,,,,,,,,"",,
31638222,31638226,1023,7e46b9a12c760d8e64de83a9ad2a380de9240e7e,java,ok,,java-ant,"",false,,,,,,,,,"",,
31639169,31639170,1024,4e64c4d74e2a6eb0d748730141055d8269956d11,java,ok,,java-ant,"",false,,,,,,,,,"",,
31639169,31639171,1024,4e64c4d74e2a6eb0d748730141055d8269956d11,java,ok,,java-ant,"",false,,,,,,,,,"",,
31659978,31659979,1025,7df6eb447435650d4ebab4bc4e4e05d6b1b45f79,java,ok,,java-ant,"",false,,,,,,,,,"",,
31659978,31659980,1025,7df6eb447435650d4ebab4bc4e4e05d6b1b45f79,java,ok,,java-ant,"",false,,,,,,,,,"",,
31719305,31719306,1026,9f1d39f0cfe1ebe54ccccccd1d6626825d322dd8,java,ok,,java-ant,"",false,,,,,,,,,"",,
31719305,31719307,1026,9f1d39f0cfe1ebe54ccccccd1d6626825d322dd8,java,ok,,java-ant,"",false,,,,,,,,,"",,
31723133,31723134,1027,27b66901c6895d37c13e5e0672ed4cdc1114099a,java,ok,,java-ant,"",false,,,,,,,,,"",,
31723133,31723135,1027,27b66901c6895d37c13e5e0672ed4cdc1114099a,java,ok,,java-ant,"",false,,,,,,,,,"",,
31732324,31732325,1028,77ca398c4bb84a18baf0e0b930b01f3ecee4d183,java,ok,,java-ant,"",false,,,,,,,,,"",,
31732324,31732326,1028,77ca398c4bb84a18baf0e0b930b01f3ecee4d183,java,ok,,java-ant,"",false,,,,,,,,,"",,
31737487,31737488,1029,3f45d093874ef21c1d62dfe004b08ee3867be026,java,ok,,java-ant,"",false,,,,,,,,,"",,
31737487,31737489,1029,3f45d093874ef21c1d62dfe004b08ee3867be026,java,ok,,java-ant,"",false,,,,,,,,,"",,
11609623,11609624,102,a9c2d4401610658fc33566a1f433bf5bd9722977,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",538.0499999999998,
11609623,11609625,102,a9c2d4401610658fc33566a1f433bf5bd9722977,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",602.8399999999999,
31749617,31749618,1030,3f45d093874ef21c1d62dfe004b08ee3867be026,java,ok,,java-ant,"",false,,,,,,,,,"",,
31749617,31749619,1030,3f45d093874ef21c1d62dfe004b08ee3867be026,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31753691,31753692,1031,8cca48abbb8fb56100740080a8692a10204430a1,java,ok,,java-ant,"",false,,,,,,,,,"",,
31753691,31753693,1031,8cca48abbb8fb56100740080a8692a10204430a1,java,ok,,java-ant,"",false,,,,,,,,,"",,
31819597,31819598,1032,3f45d093874ef21c1d62dfe004b08ee3867be026,java,ok,,java-ant,"",false,,,,,,,,,"",,
31819597,31819599,1032,3f45d093874ef21c1d62dfe004b08ee3867be026,java,ok,,java-ant,"",false,,,,,,,,,"",,
31941035,31941036,1033,96ea4b93bba2fcec97e3c44064759cb4529601e1,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31941035,31941037,1033,96ea4b93bba2fcec97e3c44064759cb4529601e1,java,unknown,,java-ant,"",false,,,,,,,,,"",,
31942294,31942295,1034,718c637c65b6cb1c647b0788e7bb3e13c205997a,java,ok,,java-ant,"",false,,,,,,,,,"",,
31942294,31942296,1034,718c637c65b6cb1c647b0788e7bb3e13c205997a,java,ok,,java-ant,"",false,,,,,,,,,"",,
31959954,31959955,1035,8a10a92c083c60a98e2ddf6d16e35ae5e7aee08b,java,ok,,java-ant,"",false,,,,,,,,,"",,
31959954,31959956,1035,8a10a92c083c60a98e2ddf6d16e35ae5e7aee08b,java,ok,,java-ant,"",false,,,,,,,,,"",,
32026659,32026662,1036,b4062a28a0072a95bc03dcd5ce23663a1d87eb94,java,ok,,java-ant,"",false,,,,,,,,,"",,
32026659,32026663,1036,b4062a28a0072a95bc03dcd5ce23663a1d87eb94,java,ok,,java-ant,"",false,,,,,,,,,"",,
32031408,32031409,1037,46b60b65fc48b25c49ae2bca7c3dc6e1e67f4fcd,java,ok,,java-ant,"",false,,,,,,,,,"",,
32031408,32031410,1037,46b60b65fc48b25c49ae2bca7c3dc6e1e67f4fcd,java,ok,,java-ant,"",false,,,,,,,,,"",,
32040798,32040799,1038,8aaea9130f27cb5e38335a7e95e53d7f4c008a37,java,ok,,java-ant,"",false,,,,,,,,,"",,
32040798,32040800,1038,8aaea9130f27cb5e38335a7e95e53d7f4c008a37,java,ok,,java-ant,"",false,,,,,,,,,"",,
32042689,32042690,1039,20ed886dfac9830649cdf0044346bb8d02b2f3fe,java,broken,,java-ant,"",false,,,,,,,,,"",,
32042689,32042691,1039,20ed886dfac9830649cdf0044346bb8d02b2f3fe,java,broken,,java-ant,"",false,,,,,,,,,"",,
11700290,11700291,103,0a2c3912f5f4391fb3f20a7d2321635deb1e5ac5,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",549.9299999999998,
11700290,11700292,103,0a2c3912f5f4391fb3f20a7d2321635deb1e5ac5,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",586.0899999999999,
32045424,32045425,1040,e0437db76ae28b81793e553ac42ba02b10212e86,java,ok,,java-ant,"",false,,,,,,,,,"",,
32045424,32045426,1040,e0437db76ae28b81793e553ac42ba02b10212e86,unknown,unknown,,plain,"",false,,,,,,,,,"",,
32045664,32045665,1041,c4883ebe9d91f3964306fc16d7e247aa46fc5093,java,ok,,java-ant,"",false,,,,,,,,,"",,
32045664,32045666,1041,c4883ebe9d91f3964306fc16d7e247aa46fc5093,java,ok,,java-ant,"",false,,,,,,,,,"",,
32045723,32045724,1042,c4883ebe9d91f3964306fc16d7e247aa46fc5093,java,ok,,java-ant,"",false,,,,,,,,,"",,
32045723,32045725,1042,c4883ebe9d91f3964306fc16d7e247aa46fc5093,java,ok,,java-ant,"",false,,,,,,,,,"",,
32052414,32052415,1043,73eb00d0576535be8b03ee6a299f41fbc2bacff1,java,broken,,java-ant,"",false,,,,,,,,,"",,
32052414,32052416,1043,73eb00d0576535be8b03ee6a299f41fbc2bacff1,java,broken,,java-ant,"",false,,,,,,,,,"",,
32052721,32052722,1044,92d7739e697e05f68f54cac4fb9d55c0406d0118,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32052721,32052723,1044,92d7739e697e05f68f54cac4fb9d55c0406d0118,unknown,unknown,,plain,"",false,,,,,,,,,"",,
32053966,32053967,1045,eeec03c2fa84d52349c819ef0ed9906d58c66db3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32053966,32053968,1045,eeec03c2fa84d52349c819ef0ed9906d58c66db3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32054439,32054440,1046,46cf68d653a923c7067b809ffdf22f44666ff9df,java,ok,,java-ant,"",false,,,,,,,,,"",,
32054439,32054441,1046,46cf68d653a923c7067b809ffdf22f44666ff9df,java,ok,,java-ant,"",false,,,,,,,,,"",,
32238370,32238371,1047,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
32238370,32238372,1047,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
32238714,32238715,1048,eeec03c2fa84d52349c819ef0ed9906d58c66db3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32238714,32238716,1048,eeec03c2fa84d52349c819ef0ed9906d58c66db3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32363034,32363035,1049,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
32363034,32363036,1049,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
11700932,11700933,104,3d235db75c2a5b5f11809df0f9c66e2c2976553a,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",549.2399999999999,
11700932,11700934,104,3d235db75c2a5b5f11809df0f9c66e2c2976553a,java,ok,,java-maven,junit,true,false,359,0,359,0,,,,"",591.09,
32468625,32468626,1050,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
32468625,32468627,1050,146579a0c2aa7d2b8cf8ee1cc40042f569fed308,java,ok,,java-ant,"",false,,,,,,,,,"",,
32481438,32481439,1051,04d10af205fb1f2441f954c9260e750eb21285c8,java,ok,,java-ant,"",false,,,,,,,,,"",,
32481438,32481440,1051,04d10af205fb1f2441f954c9260e750eb21285c8,java,ok,,java-ant,"",false,,,,,,,,,"",,
32485389,32485390,1052,4040bc1f7c700b811e3cb5879ebd6a7a72424230,java,unknown,,java-ant,"",false,,,,,,,,,"",,
32485389,32485391,1052,4040bc1f7c700b811e3cb5879ebd6a7a72424230,java,ok,,java-ant,"",false,,,,,,,,,"",,
32485800,32485801,1053,37cc61c75b8d9e69af0582b8e96462dd0b63f7a6,java,ok,,java-ant,"",false,,,,,,,,,"",,
32485800,32485802,1053,37cc61c75b8d9e69af0582b8e96462dd0b63f7a6,java,ok,,java-ant,"",false,,,,,,,,,"",,
32485848,32485849,1054,2b2edbd5b448f798d0668021129c24c5c3c200b3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32485848,32485850,1054,2b2edbd5b448f798d0668021129c24c5c3c200b3,java,ok,,java-ant,"",false,,,,,,,,,"",,
32487945,32487946,1055,5d1c01a6b253276d79ecba039a6f1d94ae0b39a2,java,ok,,java-ant,"",false,,,,,,,,,"",,
32487945,32487947,1055,5d1c01a6b253276d79ecba039a6f1d94ae0b39a2,java,ok,,java-ant,"",false,,,,,,,,,"",,
32488529,32488530,1056,bbe97204db081dd55ef730372be4bd702fc92838,java,ok,,java-ant,"",false,,,,,,,,,"",,
32488529,32488531,1056,bbe97204db081dd55ef730372be4bd702fc92838,java,ok,,java-ant,"",false,,,,,,,,,"",,
32489779,32489780,1057,2df6d7926a82ec55b6625247e081cc474a2c08e9,java,ok,,java-ant,"",false,,,,,,,,,"",,
32489779,32489781,1057,2df6d7926a82ec55b6625247e081cc474a2c08e9,java,ok,,java-ant,"",false,,,,,,,,,"",,
32491303,32491304,1058,bbe97204db081dd55ef730372be4bd702fc92838,java,ok,,java-ant,"",false,,,,,,,,,"",,
32491303,32491305,1058,bbe97204db081dd55ef730372be4bd702fc92838,java,ok,,java-ant,"",false,,,,,,,,,"",,
32539570,32539571,1059,335c6fb436da816270e97730001a00688168ecc6,java,ok,,java-ant,"",false,,,,,,,,,"",,
32539570,32539572,1059,335c6fb436da816270e97730001a00688168ecc6,java,ok,,java-ant,"",false,,,,,,,,,"",,
