tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
78343630,78343631,1000,b1a9f92f3a8ead1573220ba334716474d405868d,java,ok,0,java-maven,junit,true,false,206,0,206,2,,,,"",6.079999999999999,
78343630,78343632,1000,b1a9f92f3a8ead1573220ba334716474d405868d,java,ok,0,java-maven,junit,true,false,206,0,206,0,,,,"",7.63,
80337372,80337373,1001,1d61da68deb64bb0d82ccdf995715b01693c88ef,java,ok,0,java-maven,junit,true,false,204,0,204,2,,,,"",8.08,
80337372,80337374,1001,1d61da68deb64bb0d82ccdf995715b01693c88ef,java,ok,0,java-maven,junit,true,false,204,0,204,0,,,,"",10.530000000000001,
80352326,80352327,1002,ec8c5d59a9ac7e7bcab7d147182d602422126da6,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
80352326,80352328,1002,ec8c5d59a9ac7e7bcab7d147182d602422126da6,java,unknown,0,java-ant,"",false,,,,,,,,,"",,
80486032,80486033,1003,14611a4d43d4a13e89a1a88a873c1112e470a39b,java,ok,0,java-maven,junit,true,false,204,0,204,2,,,,"",7.220000000000001,
80486032,80486034,1003,14611a4d43d4a13e89a1a88a873c1112e470a39b,java,ok,0,java-maven,junit,true,false,204,0,204,0,,,,"",10.539999999999997,
80489938,80489939,1004,6a07eecedee4a368a3a1dbdc1a1cb4b88027ae7a,java,ok,0,java-maven,junit,true,false,204,0,204,2,,,,"",7.09,
80489938,80489940,1004,6a07eecedee4a368a3a1dbdc1a1cb4b88027ae7a,java,ok,0,java-maven,junit,true,false,204,0,204,0,,,,"",7.869999999999999,
81263703,81263704,1005,ec8c5d59a9ac7e7bcab7d147182d602422126da6,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
81263703,81263705,1005,ec8c5d59a9ac7e7bcab7d147182d602422126da6,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
81263787,81263788,1006,38abbc1e4cfd5b6b611f93b621667d54f19b16b3,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
81263787,81263789,1006,38abbc1e4cfd5b6b611f93b621667d54f19b16b3,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
